NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;2:26.335;0;B;52.184;0;49.027;0;45.124;0;133.1;2:26.335;15:02:26.335;0:52.184;0:49.027;0:45.124;138.4;Neel JANI;0:00:08.738;LMP1;H;Porsche LMP Team;Porsche;
1;0;2;5:28.831;0;;4:16.626;0;38.573;0;33.632;0;59.2;7:55.166;15:07:55.166;4:16.626;0:38.573;0:33.632;177.3;Neel JANI;0:03:46.330;LMP1;H;Porsche LMP Team;Porsche;
1;0;3;1:42.790;0;;33.187;0;37.737;0;31.866;2;189.5;9:37.956;15:09:37.956;0:33.187;0:37.737;0:31.866;249.7;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;4;1:43.014;0;;33.254;0;37.402;0;32.358;0;189.1;11:20.970;15:11:20.970;0:33.254;0:37.402;0:32.358;236.6;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;5;1:42.763;0;;33.319;0;37.575;0;31.869;0;189.6;13:03.733;15:13:03.733;0:33.319;0:37.575;0:31.869;237.6;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;6;1:42.712;0;;33.403;0;37.387;0;31.922;0;189.7;14:46.445;15:14:46.445;0:33.403;0:37.387;0:31.922;243.0;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;7;1:43.460;0;;33.463;0;37.636;0;32.361;0;188.3;16:29.905;15:16:29.905;0:33.463;0:37.636;0:32.361;240.3;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;8;1:47.158;0;B;33.118;0;37.240;2;36.800;0;181.8;18:17.063;15:18:17.063;0:33.118;0:37.240;0:36.800;243.0;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;9;50:47.957;0;;49:35.244;0;39.703;0;33.010;0;6.4;1:09:05.020;16:09:05.020;49:35.244;0:39.703;0:33.010;170.9;Neel JANI;0:49:03.157;LMP1;H;Porsche LMP Team;Porsche;
1;0;10;1:49.226;0;;34.039;0;37.813;0;37.374;0;178.4;1:10:54.246;16:10:54.246;0:34.039;0:37.813;0:37.374;251.4;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;11;1:43.343;0;;33.546;0;37.678;0;32.119;0;188.5;1:12:37.589;16:12:37.589;0:33.546;0:37.678;0:32.119;255.0;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;12;1:42.647;2;;32.965;3;37.535;0;32.147;0;189.8;1:14:20.236;16:14:20.236;0:32.965;0:37.535;0:32.147;253.2;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;13;1:43.065;0;;33.148;0;37.772;0;32.145;0;189.0;1:16:03.301;16:16:03.301;0:33.148;0:37.772;0:32.145;256.2;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;14;1:48.038;0;B;33.891;0;37.511;0;36.636;0;180.3;1:17:51.339;16:17:51.339;0:33.891;0:37.511;0:36.636;264.9;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;2;15;4:22.426;0;;3:11.078;0;38.922;0;32.426;0;74.2;1:22:13.765;16:22:13.765;3:11.078;0:38.922;0:32.426;182.1;Nick TANDY;0:02:41.620;LMP1;H;Porsche LMP Team;Porsche;
1;2;16;1:44.751;0;;33.723;0;38.573;0;32.455;0;186.0;1:23:58.516;16:23:58.516;0:33.723;0:38.573;0:32.455;256.2;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;17;1:43.601;0;;33.448;0;38.060;0;32.093;1;188.1;1:25:42.117;16:25:42.117;0:33.448;0:38.060;0:32.093;255.6;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;18;1:43.892;0;;33.397;0;38.068;0;32.427;0;187.5;1:27:26.009;16:27:26.009;0:33.397;0:38.068;0:32.427;255.0;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;19;1:43.326;0;;33.460;0;37.692;1;32.174;0;188.6;1:29:09.335;16:29:09.335;0:33.460;0:37.692;0:32.174;253.2;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;20;1:48.969;0;B;33.306;1;39.278;0;36.385;0;178.8;1:30:58.304;16:30:58.304;0:33.306;0:39.278;0:36.385;258.0;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
