NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
07;0;1;2:56.813;0;;1:01.791;0;57.320;0;57.702;0;112.3;2:56.813;09:17:56.813;1:01.791;0:57.320;0:57.702;200.0;Steve Bamford;0:00:34.089;F4;;Cape Motorsports;;
07;0;2;2:22.563;0;;32.436;0;55.067;0;55.060;0;139.3;5:19.376;09:20:19.376;0:32.436;0:55.067;0:55.060;205.3;Steve Bamford;;F4;;Cape Motorsports;;
07;0;3;2:23.907;0;;31.246;0;56.858;0;55.803;0;138.0;7:43.283;09:22:43.283;0:31.246;0:56.858;0:55.803;182.1;Steve Bamford;;F4;;Cape Motorsports;;
07;0;4;2:20.651;0;;30.895;0;55.136;0;54.620;0;141.2;10:03.934;09:25:03.934;0:30.895;0:55.136;0:54.620;206.5;Steve Bamford;;F4;;Cape Motorsports;;
07;0;5;2:21.103;0;;32.076;0;54.870;0;54.157;0;140.7;12:25.037;09:27:25.037;0:32.076;0:54.870;0:54.157;206.9;Steve Bamford;;F4;;Cape Motorsports;;
07;0;6;2:22.674;0;;31.129;0;55.804;0;55.741;0;139.2;14:47.711;09:29:47.711;0:31.129;0:55.804;0:55.741;195.3;Steve Bamford;;F4;;Cape Motorsports;;
07;0;7;2:19.145;0;;30.696;0;54.378;2;54.071;0;142.7;17:06.856;09:32:06.856;0:30.696;0:54.378;0:54.071;207.3;Steve Bamford;;F4;;Cape Motorsports;;
07;0;8;2:18.925;2;;30.401;2;54.700;0;53.824;0;142.9;19:25.781;09:34:25.781;0:30.401;0:54.700;0:53.824;206.9;Steve Bamford;;F4;;Cape Motorsports;;
07;0;9;2:19.531;0;;30.599;0;54.720;0;54.212;0;142.3;21:45.312;09:36:45.312;0:30.599;0:54.720;0:54.212;206.9;Steve Bamford;;F4;;Cape Motorsports;;
07;0;10;2:31.660;0;B;30.779;0;54.693;0;1:06.188;0;130.9;24:16.972;09:39:16.972;0:30.779;0:54.693;1:06.188;206.1;Steve Bamford;;F4;;Cape Motorsports;;
07;0;11;5:32.335;0;;3:37.431;0;58.567;0;56.337;0;59.8;29:49.307;09:44:49.307;3:37.431;0:58.567;0:56.337;195.3;Steve Bamford;0:03:10.985;F4;;Cape Motorsports;;
07;0;12;2:19.356;0;;30.715;0;54.843;0;53.798;2;142.5;32:08.663;09:47:08.663;0:30.715;0:54.843;0:53.798;205.3;Steve Bamford;;F4;;Cape Motorsports;;
10;0;1;3:26.408;0;;1:29.239;0;1:02.193;0;54.976;0;96.2;3:26.408;09:18:26.408;1:29.239;1:02.193;0:54.976;197.1;Davis Durrett;0:01:00.973;F4;;Indy Motorsport Group;;
10;0;2;2:19.588;0;;30.914;0;54.585;0;54.089;0;142.3;5:45.996;09:20:45.996;0:30.914;0:54.585;0:54.089;203.8;Davis Durrett;;F4;;Indy Motorsport Group;;
10;0;3;2:19.923;0;;31.014;0;54.432;0;54.477;0;141.9;8:05.919;09:23:05.919;0:31.014;0:54.432;0:54.477;206.5;Davis Durrett;;F4;;Indy Motorsport Group;;
10;0;4;2:18.957;0;;30.868;0;54.607;0;53.482;2;142.9;10:24.876;09:25:24.876;0:30.868;0:54.607;0:53.482;203.4;Davis Durrett;;F4;;Indy Motorsport Group;;
10;0;5;2:22.555;0;;32.888;0;55.837;0;53.830;0;139.3;12:47.431;09:27:47.431;0:32.888;0:55.837;0:53.830;203.0;Davis Durrett;;F4;;Indy Motorsport Group;;
10;0;6;2:19.402;0;;30.729;2;54.345;0;54.328;0;142.4;15:06.833;09:30:06.833;0:30.729;0:54.345;0:54.328;202.2;Davis Durrett;;F4;;Indy Motorsport Group;;
