NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;2;1;2:07.603;0;B;30.500;0;36.782;0;1:00.321;0;128.7;2:07.603;11:02:07.603;0:30.500;0:36.782;1:00.321;120.4;Nick TANDY;0:00:08.891;LMP1;H;Porsche LMP Team;Porsche;
1;2;2;9:02.344;0;;7:41.336;0;33.447;0;47.561;0;30.3;11:09.947;11:11:09.947;7:41.336;0:33.447;0:47.561;149.4;Nick TANDY;0:07:24.426;LMP1;H;Porsche LMP Team;Porsche;
1;2;3;1:39.988;0;;21.775;0;31.469;0;46.744;0;164.3;12:49.935;11:12:49.935;0:21.775;0:31.469;0:46.744;212.6;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;4;1:39.057;0;;21.459;0;31.601;0;45.997;0;165.8;14:28.992;11:14:28.992;0:21.459;0:31.601;0:45.997;220.0;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;5;1:37.389;0;;21.109;0;30.377;0;45.903;0;168.7;16:06.381;11:16:06.381;0:21.109;0:30.377;0:45.903;237.4;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;6;1:36.270;0;;20.894;0;30.014;0;45.362;3;170.6;17:42.651;11:17:42.651;0:20.894;0:30.014;0:45.362;237.4;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;7;1:35.738;0;;20.855;0;29.327;0;45.556;0;171.6;19:18.389;11:19:18.389;0:20.855;0:29.327;0:45.556;238.4;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;8;1:41.645;0;B;20.578;0;29.311;1;51.756;0;161.6;21:00.034;11:21:00.034;0:20.578;0:29.311;0:51.756;268.7;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;9;11:41.092;0;;10:25.440;0;29.757;0;45.895;0;23.4;32:41.126;11:32:41.126;10:25.440;0:29.757;0:45.895;148.1;Nick TANDY;0:10:08.904;LMP1;H;Porsche LMP Team;Porsche;
1;2;10;1:39.918;0;;21.622;0;30.055;0;48.241;0;164.4;34:21.044;11:34:21.044;0:21.622;0:30.055;0:48.241;226.9;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;11;1:36.113;0;;20.801;0;29.561;0;45.751;0;170.9;35:57.157;11:35:57.157;0:20.801;0:29.561;0:45.751;259.0;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;12;1:37.822;0;;20.765;0;30.475;0;46.582;0;167.9;37:34.979;11:37:34.979;0:20.765;0:30.475;0:46.582;256.5;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;13;1:39.151;0;;20.754;0;29.716;0;48.681;0;165.7;39:14.130;11:39:14.130;0:20.754;0:29.716;0:48.681;266.0;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;14;1:36.603;0;;20.776;0;29.622;0;46.205;0;170.0;40:50.733;11:40:50.733;0:20.776;0:29.622;0:46.205;260.9;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;15;1:44.985;0;B;20.303;2;29.882;0;54.800;0;156.5;42:35.718;11:42:35.718;0:20.303;0:29.882;0:54.800;270.7;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;1;16;12:16.245;0;;10:56.138;0;32.733;0;47.374;0;22.3;54:51.963;11:54:51.963;10:56.138;0:32.733;0:47.374;147.9;André LOTTERER;0:10:39.305;LMP1;H;Porsche LMP Team;Porsche;
1;1;17;1:36.820;0;;20.972;0;29.929;0;45.919;0;169.7;56:28.783;11:56:28.783;0:20.972;0:29.929;0:45.919;243.2;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;18;1:38.445;0;;20.840;0;29.678;0;47.927;0;166.9;58:07.228;11:58:07.228;0:20.840;0:29.678;0:47.927;255.3;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;19;1:35.527;3;;20.833;0;29.276;0;45.418;1;172.0;59:42.755;11:59:42.755;0:20.833;0:29.276;0:45.418;246.6;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
