NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;2;1;1:51.213;0;;29.067;0;31.216;0;50.930;0;147.7;1:51.213;14:26:51.213;0:29.067;0:31.216;0:50.930;117.8;Nick TANDY;0:00:07.325;LMP1;H;Porsche LMP Team;Porsche;
1;2;2;1:35.068;3;;20.106;2;29.394;1;45.568;3;172.8;3:26.281;14:28:26.281;0:20.106;0:29.394;0:45.568;285.7;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;3;1:48.391;0;B;22.290;0;30.014;0;56.087;0;151.6;5:14.672;14:30:14.672;0:22.290;0:30.014;0:56.087;260.9;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;1;4;2:56.244;0;;1:35.612;0;30.805;0;49.827;0;93.2;8:10.916;14:33:10.916;1:35.612;0:30.805;0:49.827;141.9;André LOTTERER;0:01:18.235;LMP1;H;Porsche LMP Team;Porsche;
1;1;5;1:35.658;0;;20.407;0;29.008;0;46.243;0;171.7;9:46.574;14:34:46.574;0:20.407;0:29.008;0:46.243;276.2;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;6;1:42.807;0;;23.032;0;31.950;0;47.825;0;159.8;11:29.381;14:36:29.381;0:23.032;0:31.950;0:47.825;220.0;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;7;1:35.394;0;;20.508;0;28.965;2;45.921;1;172.2;13:04.775;14:38:04.775;0:20.508;0:28.965;0:45.921;274.8;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;8;1:48.467;0;B;24.083;0;29.907;0;54.477;0;151.4;14:53.242;14:39:53.242;0:24.083;0:29.907;0:54.477;200.7;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;9;2:40.200;0;;1:22.087;0;30.101;0;48.012;0;102.5;17:33.442;14:42:33.442;1:22.087;0:30.101;0:48.012;137.8;André LOTTERER;0:01:04.768;LMP1;H;Porsche LMP Team;Porsche;
1;1;10;1:41.325;0;;20.463;0;31.748;0;49.114;0;162.1;19:14.767;14:44:14.767;0:20.463;0:31.748;0:49.114;278.4;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;11;1:42.205;0;B;20.277;1;29.032;0;52.896;0;160.7;20:56.972;14:45:56.972;0:20.277;0:29.032;0:52.896;280.5;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
13;2;1;3:40.902;0;;2:15.440;0;33.386;0;52.076;0;74.4;3:40.902;14:28:40.902;2:15.440;0:33.386;0:52.076;141.0;Nelson PIQUET JR;0:01:51.886;LMP2;;Vaillante Rebellion;Oreca;
