NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;1;1;2:55.373;0;;45.028;0;56.118;0;1:14.227;0;93.7;2:55.373;11:02:55.373;0:45.028;0:56.118;1:14.227;120.7;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;2;2:31.196;0;;32.330;0;49.143;0;1:09.723;0;108.6;5:26.569;11:05:26.569;0:32.330;0:49.143;1:09.723;119.6;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;3;2:23.579;0;;27.767;0;46.137;0;1:09.675;0;114.4;7:50.148;11:07:50.148;0:27.767;0:46.137;1:09.675;165.4;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;4;2:22.255;0;;27.668;0;46.530;0;1:08.057;0;115.5;10:12.403;11:10:12.403;0:27.668;0:46.530;1:08.057;184.3;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;5;2:38.906;0;;29.090;0;45.640;0;1:24.176;0;103.4;12:51.309;11:12:51.309;0:29.090;0:45.640;1:24.176;155.4;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;6;2:05.147;0;;44.114;0;31.678;0;49.355;0;131.3;14:56.456;11:14:56.456;0:44.114;0:31.678;0:49.355;79.0;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;7;1:40.980;0;;21.934;0;31.339;0;47.707;0;162.7;16:37.436;11:16:37.436;0:21.934;0:31.339;0:47.707;229.8;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;8;1:39.670;0;;21.619;0;30.752;0;47.299;0;164.8;18:17.106;11:18:17.106;0:21.619;0:30.752;0:47.299;228.3;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;9;1:39.189;0;;21.373;0;30.770;0;47.046;0;165.6;19:56.295;11:19:56.295;0:21.373;0:30.770;0:47.046;248.8;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;10;1:39.292;0;;21.401;0;30.682;0;47.209;0;165.4;21:35.587;11:21:35.587;0:21.401;0:30.682;0:47.209;249.4;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
