NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;3:45.268;0;;50.330;0;1:19.671;0;1:35.267;0;217.8;3:45.268;22:03:45.268;0:50.330;1:19.671;1:35.267;322.0;Neel JANI;0:00:16.644;LMP1;H;Porsche LMP Team;Porsche;
1;0;2;3:18.210;2;;31.185;2;1:15.801;2;1:31.224;2;247.5;7:03.478;22:07:03.478;0:31.185;1:15.801;1:31.224;327.8;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;3;3:40.042;0;B;32.936;0;1:20.576;0;1:46.530;0;223.0;10:43.520;22:10:43.520;0:32.936;1:20.576;1:46.530;286.2;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;4;17:44.491;0;;14:49.957;0;1:19.348;0;1:35.186;0;46.1;28:28.011;22:28:28.011;14:49.957;1:19.348;1:35.186;330.8;Neel JANI;0:14:27.804;LMP1;H;Porsche LMP Team;Porsche;
1;0;5;3:26.213;0;;33.706;0;1:17.939;0;1:34.568;0;237.9;31:54.224;22:31:54.224;0:33.706;1:17.939;1:34.568;311.8;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;6;3:24.958;0;;32.525;0;1:19.021;0;1:33.412;0;239.4;35:19.182;22:35:19.182;0:32.525;1:19.021;1:33.412;322.0;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;7;3:22.245;0;;32.279;0;1:17.154;0;1:32.812;0;242.6;38:41.427;22:38:41.427;0:32.279;1:17.154;1:32.812;327.8;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;8;3:23.612;0;;32.297;0;1:17.165;0;1:34.150;0;241.0;42:05.039;22:42:05.039;0:32.297;1:17.165;1:34.150;323.9;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;9;3:30.568;0;B;32.710;0;1:17.088;0;1:40.770;0;233.0;45:35.607;22:45:35.607;0:32.710;1:17.088;1:40.770;325.8;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;1;10;4:40.570;0;;1:47.401;0;1:18.567;0;1:34.602;0;174.9;50:16.177;22:50:16.177;1:47.401;1:18.567;1:34.602;327.8;André LOTTERER;0:01:23.978;LMP1;H;Porsche LMP Team;Porsche;
1;1;11;3:25.041;0;;32.949;0;1:19.145;0;1:32.947;0;239.3;53:41.218;22:53:41.218;0:32.949;1:19.145;1:32.947;319.1;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;12;3:26.432;0;;32.397;0;1:19.454;0;1:34.581;0;237.7;57:07.650;22:57:07.650;0:32.397;1:19.454;1:34.581;323.9;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;13;3:26.940;0;;32.523;0;1:20.822;0;1:33.595;0;237.1;1:00:34.590;23:00:34.590;0:32.523;1:20.822;1:33.595;322.0;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;14;3:24.474;0;;32.319;0;1:17.952;0;1:34.203;0;240.0;1:03:59.064;23:03:59.064;0:32.319;1:17.952;1:34.203;316.3;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;15;3:25.412;0;;32.429;0;1:18.170;0;1:34.813;0;238.9;1:07:24.476;23:07:24.476;0:32.429;1:18.170;1:34.813;316.3;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
