NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;2:30.854;0;;1:22.806;0;45.634;0;22.414;0;122.6;2:30.854;16:17:30.854;1:22.806;0:45.634;0:22.414;182.7;Neel JANI;0:00:29.124;LMP1;H;Porsche LMP Team;Porsche;
1;0;2;1:41.796;0;;45.590;3;36.859;0;19.347;1;181.7;4:12.650;16:19:12.650;0:45.590;0:36.859;0:19.347;233.3;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;3;1:51.552;0;B;51.381;0;35.705;1;24.466;0;165.8;6:04.202;16:21:04.202;0:51.381;0:35.705;0:24.466;261.5;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;1;4;3:00.838;0;;2:03.260;0;38.356;0;19.222;0;102.3;9:05.040;16:24:05.040;2:03.260;0:38.356;0:19.222;263.4;André LOTTERER;0:01:18.939;LMP1;H;Porsche LMP Team;Porsche;
1;1;5;1:39.629;2;;45.919;1;35.351;2;18.359;1;185.6;10:44.669;16:25:44.669;0:45.919;0:35.351;0:18.359;271.4;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;1;6;2:59.514;0;B;1:02.424;0;1:30.643;0;26.447;0;103.0;13:44.183;16:28:44.183;1:02.424;1:30.643;0:26.447;111.1;André LOTTERER;;LMP1;H;Porsche LMP Team;Porsche;
1;2;7;9:45.580;0;;8:49.723;0;37.158;0;18.699;0;31.6;23:29.763;16:38:29.763;8:49.723;0:37.158;0:18.699;251.2;Nick TANDY;0:08:06.377;LMP1;H;Porsche LMP Team;Porsche;
1;2;8;1:43.581;0;;48.283;0;36.890;0;18.408;0;178.5;25:13.344;16:40:13.344;0:48.283;0:36.890;0:18.408;260.2;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;9;1:46.880;0;;47.386;0;39.966;0;19.528;0;173.0;27:00.224;16:42:00.224;0:47.386;0:39.966;0:19.528;255.3;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;10;1:43.394;0;;47.298;0;36.376;0;19.720;0;178.9;28:43.618;16:43:43.618;0:47.298;0:36.376;0:19.720;270.7;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;11;1:43.963;0;;47.691;0;37.731;0;18.541;0;177.9;30:27.581;16:45:27.581;0:47.691;0:37.731;0:18.541;253.5;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;12;1:42.869;0;;47.420;0;37.192;0;18.257;0;179.8;32:10.450;16:47:10.450;0:47.420;0:37.192;0:18.257;267.3;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;13;1:43.433;0;;48.339;0;36.825;0;18.269;0;178.8;33:53.883;16:48:53.883;0:48.339;0:36.825;0:18.269;262.8;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;14;1:42.126;0;;47.301;0;36.521;0;18.304;0;181.1;35:36.009;16:50:36.009;0:47.301;0:36.521;0:18.304;259.0;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;15;1:41.915;0;;46.994;0;36.436;0;18.485;0;181.5;37:17.924;16:52:17.924;0:46.994;0:36.436;0:18.485;247.1;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;16;1:42.106;0;;47.206;0;36.639;0;18.261;0;181.1;39:00.030;16:54:00.030;0:47.206;0:36.639;0:18.261;264.1;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;17;1:43.247;0;;47.652;0;36.973;0;18.622;0;179.1;40:43.277;16:55:43.277;0:47.652;0:36.973;0:18.622;270.7;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;18;1:43.157;0;;47.891;0;36.986;0;18.280;0;179.3;42:26.434;16:57:26.434;0:47.891;0:36.986;0:18.280;259.6;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;19;1:43.435;0;;47.954;0;37.180;0;18.301;0;178.8;44:09.869;16:59:09.869;0:47.954;0:37.180;0:18.301;260.9;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;20;1:42.199;0;;47.191;0;36.711;0;18.297;0;181.0;45:52.068;17:00:52.068;0:47.191;0:36.711;0:18.297;265.4;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;21;2:49.672;0;B;47.053;0;1:26.549;0;36.070;0;109.0;48:41.740;17:03:41.740;0:47.053;1:26.549;0:36.070;80.2;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;22;9:09.793;0;;8:13.031;0;38.027;0;18.735;0;33.6;57:51.533;17:12:51.533;8:13.031;0:38.027;0:18.735;262.8;Nick TANDY;0:07:26.714;LMP1;H;Porsche LMP Team;Porsche;
