NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
100;0;1;2:22.840;0;;1:10.939;0;47.177;0;24.724;0;129.5;2:22.840;17:22:03.289;1:10.939;0:47.177;0:24.724;225.0;Bernd Kleinbach;;5e;;Attempto Racing;;
100;0;2;2:10.336;0;;59.253;0;47.602;0;23.481;0;141.9;4:33.176;17:24:13.625;0:59.253;0:47.602;0:23.481;233.8;Bernd Kleinbach;;5e;;Attempto Racing;;
100;0;3;2:08.901;0;;59.080;0;46.239;0;23.582;0;143.5;6:42.077;17:26:22.526;0:59.080;0:46.239;0:23.582;236.3;Bernd Kleinbach;;5e;;Attempto Racing;;
100;0;4;2:08.419;0;;59.029;0;46.447;0;22.943;2;144.0;8:50.496;17:28:30.945;0:59.029;0:46.447;0:22.943;236.8;Bernd Kleinbach;;5e;;Attempto Racing;;
100;0;5;2:07.842;0;;58.548;0;46.315;0;22.979;0;144.7;10:58.338;17:30:38.787;0:58.548;0:46.315;0:22.979;237.4;Bernd Kleinbach;;5e;;Attempto Racing;;
100;0;6;2:10.133;0;;58.546;0;47.063;0;24.524;0;142.1;13:08.471;17:32:48.920;0:58.546;0:47.063;0:24.524;233.8;Bernd Kleinbach;;5e;;Attempto Racing;;
100;0;7;2:11.963;0;;1:00.684;0;48.119;0;23.160;0;140.1;15:20.434;17:35:00.883;1:00.684;0:48.119;0:23.160;232.8;Bernd Kleinbach;;5e;;Attempto Racing;;
100;0;8;2:08.961;0;;58.697;0;46.959;0;23.305;0;143.4;17:29.395;17:37:09.844;0:58.697;0:46.959;0:23.305;236.3;Bernd Kleinbach;;5e;;Attempto Racing;;
100;0;9;2:08.838;0;;58.339;2;46.864;0;23.635;0;143.5;19:38.233;17:39:18.682;0:58.339;0:46.864;0:23.635;232.3;Bernd Kleinbach;;5e;;Attempto Racing;;
100;0;10;2:10.416;0;;59.120;0;47.593;0;23.703;0;141.8;21:48.649;17:41:29.098;0:59.120;0:47.593;0:23.703;234.3;Bernd Kleinbach;;5e;;Attempto Racing;;
100;0;11;2:09.073;0;;58.876;0;46.829;0;23.368;0;143.3;23:57.722;17:43:38.171;0:58.876;0:46.829;0:23.368;238.4;Bernd Kleinbach;;5e;;Attempto Racing;;
100;0;12;2:07.794;0;;58.541;0;46.175;2;23.078;0;144.7;26:05.516;17:45:45.965;0:58.541;0:46.175;0:23.078;237.4;Bernd Kleinbach;;5e;;Attempto Racing;;
100;0;13;2:10.536;0;;1:00.355;0;47.138;0;23.043;0;141.7;28:16.052;17:47:56.501;1:00.355;0:47.138;0:23.043;235.8;Bernd Kleinbach;;5e;;Attempto Racing;;
100;0;14;2:07.750;2;;58.573;0;46.189;0;22.988;0;144.8;30:23.802;17:50:04.251;0:58.573;0:46.189;0:22.988;236.8;Bernd Kleinbach;;5e;;Attempto Racing;;
100;0;15;2:08.064;0;;58.802;0;46.301;0;22.961;0;144.4;32:31.866;17:52:12.315;0:58.802;0:46.301;0:22.961;236.8;Bernd Kleinbach;;5e;;Attempto Racing;;
111;0;1;2:23.267;0;;1:11.467;0;47.335;0;24.465;0;129.1;2:23.267;17:22:03.716;1:11.467;0:47.335;0:24.465;230.8;Jens Kempe;;5e;;APC - Motorsport - Team;;
111;0;2;2:10.324;0;;59.749;0;47.112;0;23.463;0;141.9;4:33.591;17:24:14.040;0:59.749;0:47.112;0:23.463;234.3;Jens Kempe;;5e;;APC - Motorsport - Team;;
111;0;3;2:09.075;0;;59.604;0;46.570;0;22.901;0;143.3;6:42.666;17:26:23.115;0:59.604;0:46.570;0:22.901;236.8;Jens Kempe;;5e;;APC - Motorsport - Team;;
111;0;4;2:08.692;0;;58.684;0;46.753;0;23.255;0;143.7;8:51.358;17:28:31.807;0:58.684;0:46.753;0:23.255;238.4;Jens Kempe;;5e;;APC - Motorsport - Team;;
111;0;5;2:08.094;0;;58.655;0;46.641;0;22.798;0;144.4;10:59.452;17:30:39.901;0:58.655;0:46.641;0:22.798;236.8;Jens Kempe;;5e;;APC - Motorsport - Team;;
111;0;6;2:09.050;0;;58.156;0;46.721;0;24.173;0;143.3;13:08.502;17:32:48.951;0:58.156;0:46.721;0:24.173;236.8;Jens Kempe;;5e;;APC - Motorsport - Team;;
111;0;7;2:10.263;0;;59.928;0;47.280;0;23.055;0;142.0;15:18.765;17:34:59.214;0:59.928;0:47.280;0:23.055;236.3;Jens Kempe;;5e;;APC - Motorsport - Team;;
111;0;8;2:07.329;0;;58.289;0;46.235;2;22.805;0;145.2;17:26.094;17:37:06.543;0:58.289;0:46.235;0:22.805;235.8;Jens Kempe;;5e;;APC - Motorsport - Team;;
