NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:55.890;0;;38.625;0;47.826;0;29.439;0;183.3;1:55.890;09:41:55.890;0:38.625;0:47.826;0:29.439;279.8;Neel JANI;0:00:06.539;LMP1;H;Porsche LMP Team;Porsche;
1;0;2;1:46.713;0;;32.464;0;45.936;0;28.313;0;199.1;3:42.603;09:43:42.603;0:32.464;0:45.936;0:28.313;280.5;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;3;1:47.838;0;;31.621;0;45.524;0;30.693;0;197.0;5:30.441;09:45:30.441;0:31.621;0:45.524;0:30.693;282.0;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;4;1:44.367;0;;32.162;0;44.180;0;28.025;0;203.5;7:14.808;09:47:14.808;0:32.162;0:44.180;0:28.025;282.0;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;0;5;1:49.004;0;B;32.026;0;45.453;0;31.525;0;194.9;9:03.812;09:49:03.812;0:32.026;0:45.453;0:31.525;282.7;Neel JANI;;LMP1;H;Porsche LMP Team;Porsche;
1;2;6;3:00.667;0;;1:44.708;0;46.955;0;29.004;0;117.6;12:04.479;09:52:04.479;1:44.708;0:46.955;0:29.004;280.5;Nick TANDY;0:01:21.999;LMP1;H;Porsche LMP Team;Porsche;
1;2;7;1:46.259;0;;32.547;0;45.169;0;28.543;0;199.9;13:50.738;09:53:50.738;0:32.547;0:45.169;0:28.543;283.5;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;8;1:47.100;0;;33.612;0;44.325;0;29.163;0;198.4;15:37.838;09:55:37.838;0:33.612;0:44.325;0:29.163;283.5;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;9;1:49.633;0;B;33.906;0;45.311;0;30.416;0;193.8;17:27.471;09:57:27.471;0:33.906;0:45.311;0:30.416;281.2;Nick TANDY;;LMP1;H;Porsche LMP Team;Porsche;
1;2;10;7:19.513;0;;6:03.184;0;43.799;0;32.530;0;48.3;24:46.984;10:04:46.984;6:03.184;0:43.799;0:32.530;205.7;Nick TANDY;0:05:40.397;LMP1;H;Porsche LMP Team;Porsche;
