NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;2:38.728;0;;48.340;0;1:10.434;0;39.954;0;158.9;2:38.728;17:28:28.054;0:48.340;1:10.434;0:39.954;224.8;Stefano COMINI;;;;Comtoyou Racing;;
1;0;2;2:32.526;0;;43.735;2;1:09.709;0;39.082;2;165.3;5:11.254;17:31:00.580;0:43.735;1:09.709;0:39.082;243.0;Stefano COMINI;;;;Comtoyou Racing;;
1;0;3;2:32.101;3;;43.745;0;1:09.178;3;39.178;0;165.8;7:43.355;17:33:32.681;0:43.745;1:09.178;0:39.178;240.8;Stefano COMINI;;;;Comtoyou Racing;;
1;0;4;2:32.703;0;;43.770;0;1:09.827;0;39.106;0;165.1;10:16.058;17:36:05.384;0:43.770;1:09.827;0:39.106;240.8;Stefano COMINI;;;;Comtoyou Racing;;
1;0;5;2:32.978;0;;43.894;0;1:09.709;0;39.375;0;164.8;12:49.036;17:38:38.362;0:43.894;1:09.709;0:39.375;240.3;Stefano COMINI;;;;Comtoyou Racing;;
1;0;6;2:33.446;0;;43.855;0;1:10.211;0;39.380;0;164.3;15:22.482;17:41:11.808;0:43.855;1:10.211;0:39.380;240.8;Stefano COMINI;;;;Comtoyou Racing;;
1;0;7;2:33.994;0;;44.352;0;1:10.249;0;39.393;0;163.7;17:56.476;17:43:45.802;0:44.352;1:10.249;0:39.393;238.7;Stefano COMINI;;;;Comtoyou Racing;;
1;0;8;2:34.753;0;;44.293;0;1:10.643;0;39.817;0;162.9;20:31.229;17:46:20.555;0:44.293;1:10.643;0:39.817;240.3;Stefano COMINI;;;;Comtoyou Racing;;
1;0;9;2:36.674;0;;44.376;0;1:11.378;0;40.920;0;160.9;23:07.903;17:48:57.229;0:44.376;1:11.378;0:40.920;238.7;Stefano COMINI;;;;Comtoyou Racing;;
10;0;1;2:44.993;0;;52.216;0;1:12.658;0;40.119;0;152.8;2:44.993;17:28:34.319;0:52.216;1:12.658;0:40.119;236.6;Gianni MORBIDELLI;;;;West Coast Racing;;
10;0;2;2:34.314;0;;44.311;0;1:10.265;0;39.738;0;163.4;5:19.307;17:31:08.633;0:44.311;1:10.265;0:39.738;239.7;Gianni MORBIDELLI;;;;West Coast Racing;;
10;0;3;2:34.632;0;;44.522;0;1:10.000;0;40.110;0;163.1;7:53.939;17:33:43.265;0:44.522;1:10.000;0:40.110;237.1;Gianni MORBIDELLI;;;;West Coast Racing;;
10;0;4;2:34.056;0;;44.304;0;1:10.091;0;39.661;0;163.7;10:27.995;17:36:17.321;0:44.304;1:10.091;0:39.661;241.3;Gianni MORBIDELLI;;;;West Coast Racing;;
10;0;5;2:33.441;2;;44.218;0;1:09.865;2;39.358;2;164.3;13:01.436;17:38:50.762;0:44.218;1:09.865;0:39.358;238.7;Gianni MORBIDELLI;;;;West Coast Racing;;
10;0;6;2:34.087;0;;44.149;2;1:10.149;0;39.789;0;163.6;15:35.523;17:41:24.849;0:44.149;1:10.149;0:39.789;240.3;Gianni MORBIDELLI;;;;West Coast Racing;;
10;0;7;2:35.534;0;;44.672;0;1:11.127;0;39.735;0;162.1;18:11.057;17:44:00.383;0:44.672;1:11.127;0:39.735;237.6;Gianni MORBIDELLI;;;;West Coast Racing;;
10;0;8;2:35.240;0;;44.339;0;1:11.012;0;39.889;0;162.4;20:46.297;17:46:35.623;0:44.339;1:11.012;0:39.889;231.5;Gianni MORBIDELLI;;;;West Coast Racing;;
10;0;9;2:35.158;0;;44.247;0;1:10.888;0;40.023;0;162.5;23:21.455;17:49:10.781;0:44.247;1:10.888;0:40.023;236.6;Gianni MORBIDELLI;;;;West Coast Racing;;
11;0;1;2:50.114;0;;53.453;0;1:15.285;0;41.376;0;148.2;2:50.114;17:28:39.440;0:53.453;1:15.285;0:41.376;197.0;Jens Reno MØLLER;;;;Reno Racing;;
11;0;2;2:35.430;0;;44.422;0;1:10.824;0;40.184;0;162.2;5:25.544;17:31:14.870;0:44.422;1:10.824;0:40.184;236.6;Jens Reno MØLLER;;;;Reno Racing;;
11;0;3;2:35.352;0;;44.805;0;1:10.465;2;40.082;2;162.3;8:00.896;17:33:50.222;0:44.805;1:10.465;0:40.082;239.7;Jens Reno MØLLER;;;;Reno Racing;;
11;0;4;2:36.795;0;;45.212;0;1:11.477;0;40.106;0;160.8;10:37.691;17:36:27.017;0:45.212;1:11.477;0:40.106;213.7;Jens Reno MØLLER;;;;Reno Racing;;
11;0;5;2:35.777;0;;44.328;0;1:10.826;0;40.623;0;161.9;13:13.468;17:39:02.794;0:44.328;1:10.826;0:40.623;239.7;Jens Reno MØLLER;;;;Reno Racing;;
11;0;6;2:35.561;0;;44.338;0;1:10.981;0;40.242;0;162.1;15:49.029;17:41:38.355;0:44.338;1:10.981;0:40.242;239.2;Jens Reno MØLLER;;;;Reno Racing;;
11;0;7;2:35.266;2;;44.170;2;1:10.738;0;40.358;0;162.4;18:24.295;17:44:13.621;0:44.170;1:10.738;0:40.358;240.8;Jens Reno MØLLER;;;;Reno Racing;;
11;0;8;2:36.584;0;;44.280;0;1:11.501;0;40.803;0;161.0;21:00.879;17:46:50.205;0:44.280;1:11.501;0:40.803;239.7;Jens Reno MØLLER;;;;Reno Racing;;
11;0;9;2:39.553;0;;44.956;0;1:13.820;0;40.777;0;158.0;23:40.432;17:49:29.758;0:44.956;1:13.820;0:40.777;237.6;Jens Reno MØLLER;;;;Reno Racing;;
12;0;1;2:48.729;0;;53.049;0;1:15.331;0;40.349;0;149.4;2:48.729;17:28:38.055;0:53.049;1:15.331;0:40.349;217.2;Guillaume MONDRON;;;;Delahaye Racing Team;;
12;0;2;2:34.340;0;;44.022;0;1:10.501;0;39.817;0;163.4;5:23.069;17:31:12.395;0:44.022;1:10.501;0:39.817;241.9;Guillaume MONDRON;;;;Delahaye Racing Team;;
12;0;3;2:35.646;0;;45.016;0;1:10.941;0;39.689;0;162.0;7:58.715;17:33:48.041;0:45.016;1:10.941;0:39.689;241.3;Guillaume MONDRON;;;;Delahaye Racing Team;;
12;0;4;2:33.692;2;;44.211;0;1:09.993;2;39.488;2;164.1;10:32.407;17:36:21.733;0:44.211;1:09.993;0:39.488;244.1;Guillaume MONDRON;;;;Delahaye Racing Team;;
12;0;5;2:34.382;0;;43.958;2;1:10.823;0;39.601;0;163.3;13:06.789;17:38:56.115;0:43.958;1:10.823;0:39.601;243.0;Guillaume MONDRON;;;;Delahaye Racing Team;;
12;0;6;2:35.829;0;;44.483;0;1:11.417;0;39.929;0;161.8;15:42.618;17:41:31.944;0:44.483;1:11.417;0:39.929;241.3;Guillaume MONDRON;;;;Delahaye Racing Team;;
12;0;7;2:35.310;0;;44.294;0;1:11.097;0;39.919;0;162.3;18:17.928;17:44:07.254;0:44.294;1:11.097;0:39.919;241.9;Guillaume MONDRON;;;;Delahaye Racing Team;;
12;0;8;2:35.441;0;;44.444;0;1:11.071;0;39.926;0;162.2;20:53.369;17:46:42.695;0:44.444;1:11.071;0:39.926;242.4;Guillaume MONDRON;;;;Delahaye Racing Team;;
12;0;9;2:35.849;0;;44.265;0;1:11.629;0;39.955;0;161.8;23:29.218;17:49:18.544;0:44.265;1:11.629;0:39.955;241.3;Guillaume MONDRON;;;;Delahaye Racing Team;;
16;0;1;2:48.243;0;;53.438;0;1:14.612;0;40.193;0;149.9;2:48.243;17:28:37.569;0:53.438;1:14.612;0:40.193;213.7;Davit KAJAIA;;;;GE-Force;;
16;0;2;2:35.102;0;;43.845;0;1:11.621;0;39.636;0;162.6;5:23.345;17:31:12.671;0:43.845;1:11.621;0:39.636;238.7;Davit KAJAIA;;;;GE-Force;;
16;0;3;2:34.927;0;;44.640;0;1:10.754;2;39.533;0;162.7;7:58.272;17:33:47.598;0:44.640;1:10.754;0:39.533;234.5;Davit KAJAIA;;;;GE-Force;;
16;0;4;2:34.687;0;;43.999;0;1:11.194;0;39.494;0;163.0;10:32.959;17:36:22.285;0:43.999;1:11.194;0:39.494;238.2;Davit KAJAIA;;;;GE-Force;;
16;0;5;2:34.147;2;;43.748;0;1:10.770;0;39.629;0;163.6;13:07.106;17:38:56.432;0:43.748;1:10.770;0:39.629;237.6;Davit KAJAIA;;;;GE-Force;;
16;0;6;2:34.526;0;;43.739;2;1:11.321;0;39.466;2;163.2;15:41.632;17:41:30.958;0:43.739;1:11.321;0:39.466;236.6;Davit KAJAIA;;;;GE-Force;;
16;0;7;2:35.055;0;;43.750;0;1:11.580;0;39.725;0;162.6;18:16.687;17:44:06.013;0:43.750;1:11.580;0:39.725;236.6;Davit KAJAIA;;;;GE-Force;;
16;0;8;2:35.239;0;;44.222;0;1:11.361;0;39.656;0;162.4;20:51.926;17:46:41.252;0:44.222;1:11.361;0:39.656;238.2;Davit KAJAIA;;;;GE-Force;;
16;0;9;2:35.427;0;;44.396;0;1:11.397;0;39.634;0;162.2;23:27.353;17:49:16.679;0:44.396;1:11.397;0:39.634;237.6;Davit KAJAIA;;;;GE-Force;;
18;0;1;2:50.790;0;;54.553;0;1:14.710;0;41.527;0;147.6;2:50.790;17:28:40.116;0:54.553;1:14.710;0:41.527;212.5;Duncan ENDE;;;;Icarus Motorsports;;
18;0;2;2:38.152;0;;45.573;0;1:12.253;0;40.326;0;159.4;5:28.942;17:31:18.268;0:45.573;1:12.253;0:40.326;234.0;Duncan ENDE;;;;Icarus Motorsports;;
18;0;3;2:35.672;2;;44.923;0;1:10.975;0;39.774;2;162.0;8:04.614;17:33:53.940;0:44.923;1:10.975;0:39.774;234.5;Duncan ENDE;;;;Icarus Motorsports;;
18;0;4;2:35.921;0;;44.746;2;1:11.197;0;39.978;0;161.7;10:40.535;17:36:29.861;0:44.746;1:11.197;0:39.978;238.2;Duncan ENDE;;;;Icarus Motorsports;;
18;0;5;2:37.394;0;;45.861;0;1:11.502;0;40.031;0;160.2;13:17.929;17:39:07.255;0:45.861;1:11.502;0:40.031;235.6;Duncan ENDE;;;;Icarus Motorsports;;
18;0;6;2:36.090;0;;45.186;0;1:10.945;2;39.959;0;161.5;15:54.019;17:41:43.345;0:45.186;1:10.945;0:39.959;236.1;Duncan ENDE;;;;Icarus Motorsports;;
18;0;7;2:37.160;0;;45.118;0;1:12.123;0;39.919;0;160.4;18:31.179;17:44:20.505;0:45.118;1:12.123;0:39.919;237.6;Duncan ENDE;;;;Icarus Motorsports;;
18;0;8;2:36.651;0;;44.957;0;1:11.786;0;39.908;0;161.0;21:07.830;17:46:57.156;0:44.957;1:11.786;0:39.908;237.1;Duncan ENDE;;;;Icarus Motorsports;;
18;0;9;2:37.065;0;;45.084;0;1:11.634;0;40.347;0;160.5;23:44.895;17:49:34.221;0:45.084;1:11.634;0:40.347;235.6;Duncan ENDE;;;;Icarus Motorsports;;
2;0;1;2:41.124;0;;49.292;0;1:12.298;0;39.534;0;156.5;2:41.124;17:28:30.450;0:49.292;1:12.298;0:39.534;232.0;Jean-Karl VERNAY;;;;Leopard Racing Team WRT;;
2;0;2;2:33.396;0;;44.372;0;1:09.998;0;39.026;3;164.4;5:14.520;17:31:03.846;0:44.372;1:09.998;0:39.026;238.2;Jean-Karl VERNAY;;;;Leopard Racing Team WRT;;
2;0;3;2:33.145;0;;44.211;0;1:09.788;0;39.146;0;164.6;7:47.665;17:33:36.991;0:44.211;1:09.788;0:39.146;240.8;Jean-Karl VERNAY;;;;Leopard Racing Team WRT;;
2;0;4;2:33.914;0;;43.997;0;1:10.540;0;39.377;0;163.8;10:21.579;17:36:10.905;0:43.997;1:10.540;0:39.377;239.7;Jean-Karl VERNAY;;;;Leopard Racing Team WRT;;
2;0;5;2:35.216;0;;44.699;0;1:11.238;0;39.279;0;162.4;12:56.795;17:38:46.121;0:44.699;1:11.238;0:39.279;238.7;Jean-Karl VERNAY;;;;Leopard Racing Team WRT;;
2;0;6;2:32.481;2;;43.962;2;1:09.340;2;39.179;0;165.4;15:29.276;17:41:18.602;0:43.962;1:09.340;0:39.179;237.6;Jean-Karl VERNAY;;;;Leopard Racing Team WRT;;
2;0;7;2:35.726;0;;44.116;0;1:11.705;0;39.905;0;161.9;18:05.002;17:43:54.328;0:44.116;1:11.705;0:39.905;234.0;Jean-Karl VERNAY;;;;Leopard Racing Team WRT;;
2;0;8;2:35.434;0;;44.279;0;1:11.010;0;40.145;0;162.2;20:40.436;17:46:29.762;0:44.279;1:11.010;0:40.145;235.6;Jean-Karl VERNAY;;;;Leopard Racing Team WRT;;
2;0;9;2:36.231;0;;44.069;0;1:11.840;0;40.322;0;161.4;23:16.667;17:49:05.993;0:44.069;1:11.840;0:40.322;233.0;Jean-Karl VERNAY;;;;Leopard Racing Team WRT;;
21;0;1;2:45.900;0;;52.459;0;1:13.245;0;40.196;0;152.0;2:45.900;17:28:35.226;0:52.459;1:13.245;0:40.196;214.2;Giacomo ALTOÈ;;;;West Coast Racing;;
21;0;2;2:35.103;0;;44.280;0;1:11.435;0;39.388;0;162.6;5:21.003;17:31:10.329;0:44.280;1:11.435;0:39.388;242.4;Giacomo ALTOÈ;;;;West Coast Racing;;
21;0;3;2:34.189;0;;44.284;0;1:10.614;0;39.291;0;163.5;7:55.192;17:33:44.518;0:44.284;1:10.614;0:39.291;226.2;Giacomo ALTOÈ;;;;West Coast Racing;;
