NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;5:49.756;0;;1:40.079;0;1:55.066;0;2:14.611;0;138.8;5:49.756;15:30:49.756;1:40.079;1:55.066;2:14.611;213.4;Andrew HOWARD;0:00:51.942;GT4;;Beechdean AMR;;
1;0;2;7:19.516;0;B;50.960;0;2:37.264;0;3:51.292;0;111.6;13:09.272;15:38:09.272;0:50.960;2:37.264;3:51.292;160.3;Andrew HOWARD;;GT4;;Beechdean AMR;;
1;0;3;6:31.570;0;;2:33.332;0;1:47.284;0;2:10.954;0;125.3;19:40.841;15:44:40.842;2:33.332;1:47.284;2:10.954;258.8;Andrew HOWARD;0:02:08.339;GT4;;Beechdean AMR;;
1;0;4;4:29.784;0;;42.858;0;1:41.325;0;2:05.601;0;181.8;24:10.625;15:49:10.626;0:42.858;1:41.325;2:05.601;276.7;Andrew HOWARD;;GT4;;Beechdean AMR;;
1;0;5;4:24.420;2;;41.903;2;1:40.905;0;2:01.612;2;185.5;28:35.045;15:53:35.046;0:41.903;1:40.905;2:01.612;273.2;Andrew HOWARD;;GT4;;Beechdean AMR;;
1;0;6;4:47.869;0;B;42.759;0;1:45.056;0;2:20.054;0;170.4;33:22.914;15:58:22.915;0:42.759;1:45.056;2:20.054;268.4;Andrew HOWARD;;GT4;;Beechdean AMR;;
1;0;7;9:35.526;0;;5:42.965;0;1:43.989;0;2:08.572;0;85.2;42:58.440;16:07:58.441;5:42.965;1:43.989;2:08.572;249.8;Andrew HOWARD;0:04:57.221;GT4;;Beechdean AMR;;
1;0;8;4:33.835;0;;44.141;0;1:42.755;0;2:06.939;0;179.1;47:32.275;16:12:32.276;0:44.141;1:42.755;2:06.939;271.8;Andrew HOWARD;;GT4;;Beechdean AMR;;
1;0;9;4:48.580;0;;43.274;0;1:41.985;0;2:23.321;0;170.0;52:20.855;16:17:20.856;0:43.274;1:41.985;2:23.321;273.2;Andrew HOWARD;;GT4;;Beechdean AMR;;
1;0;10;4:32.560;0;;44.740;0;1:42.090;0;2:05.730;0;180.0;56:53.415;16:21:53.416;0:44.740;1:42.090;2:05.730;271.1;Andrew HOWARD;;GT4;;Beechdean AMR;;
1;0;11;4:29.091;0;;43.227;0;1:41.267;0;2:04.597;0;182.3;1:01:22.506;16:26:22.507;0:43.227;1:41.267;2:04.597;275.3;Andrew HOWARD;;GT4;;Beechdean AMR;;
1;0;12;4:30.471;0;;42.594;0;1:40.840;2;2:07.037;0;181.4;1:05:52.977;16:30:52.978;0:42.594;1:40.840;2:07.037;273.2;Andrew HOWARD;;GT4;;Beechdean AMR;;
10;0;1;5:49.805;0;;1:14.030;0;2:05.126;0;2:30.649;0;138.7;5:49.805;15:30:49.805;1:14.030;2:05.126;2:30.649;201.8;Malcolm SANDFORD;0:00:14.004;GT4;;EDF Motorsports;;
10;0;2;8:08.472;0;B;1:01.847;0;2:57.108;0;4:09.517;0;100.4;13:58.277;15:38:58.277;1:01.847;2:57.108;4:09.517;139.2;Malcolm SANDFORD;;GT4;;EDF Motorsports;;
10;0;3;6:32.009;0;;2:05.144;0;1:58.920;0;2:27.945;0;125.1;20:30.285;15:45:30.286;2:05.144;1:58.920;2:27.945;212.1;Malcolm SANDFORD;0:01:19.563;GT4;;EDF Motorsports;;
10;0;4;5:04.742;0;;50.473;0;1:53.124;0;2:21.145;0;161.0;25:35.027;15:50:35.028;0:50.473;1:53.124;2:21.145;234.2;Malcolm SANDFORD;;GT4;;EDF Motorsports;;
10;0;5;4:56.177;0;;48.269;0;1:49.002;0;2:18.906;0;165.6;30:31.204;15:55:31.205;0:48.269;1:49.002;2:18.906;265.1;Malcolm SANDFORD;;GT4;;EDF Motorsports;;
10;0;6;5:19.145;0;B;50.890;0;1:52.413;0;2:35.842;0;153.7;35:50.349;16:00:50.350;0:50.890;1:52.413;2:35.842;234.7;Malcolm SANDFORD;;GT4;;EDF Motorsports;;
10;0;7;8:56.321;0;;4:05.606;0;2:17.072;0;2:33.643;0;91.5;44:46.670;16:09:46.671;4:05.606;2:17.072;2:33.643;179.1;Malcolm SANDFORD;0:03:13.683;GT4;;EDF Motorsports;;
10;0;8;4:57.752;0;;50.243;0;1:50.397;0;2:17.112;0;164.7;49:44.422;16:14:44.423;0:50.243;1:50.397;2:17.112;258.8;Malcolm SANDFORD;;GT4;;EDF Motorsports;;
10;0;9;5:15.927;0;;46.915;0;1:47.631;0;2:41.381;0;155.3;55:00.349;16:20:00.350;0:46.915;1:47.631;2:41.381;263.2;Malcolm SANDFORD;;GT4;;EDF Motorsports;;
