NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;4:41.698;0;;49.065;0;1:43.092;0;2:09.541;0;172.3;4:41.698;10:19:30.129;0:49.065;1:43.092;2:09.541;240.4;Andrew HOWARD;;GT4;;Beechdean AMR;;
1;0;2;4:42.674;0;;44.054;0;1:43.692;0;2:14.928;0;173.5;9:24.372;10:24:12.803;0:44.054;1:43.692;2:14.928;274.6;Andrew HOWARD;;GT4;;Beechdean AMR;;
1;0;3;8:31.109;0;B;46.004;0;4:13.261;0;3:31.844;0;96.0;17:55.481;10:32:43.912;0:46.004;4:13.261;3:31.844;74.7;Andrew HOWARD;;GT4;;Beechdean AMR;;
1;0;4;8:27.695;0;;4:12.548;0;1:50.447;0;2:24.700;0;96.6;26:23.176;10:41:11.607;4:12.548;1:50.447;2:24.700;182.1;Andrew HOWARD;0:03:36.558;GT4;;Beechdean AMR;;
1;0;5;4:34.762;0;;45.586;0;1:42.461;0;2:06.715;0;178.5;30:57.938;10:45:46.369;0:45.586;1:42.461;2:06.715;271.8;Andrew HOWARD;;GT4;;Beechdean AMR;;
1;0;6;4:54.644;0;;1:04.169;0;1:42.281;0;2:08.194;0;166.5;35:52.582;10:50:41.013;1:04.169;1:42.281;2:08.194;261.3;Andrew HOWARD;;GT4;;Beechdean AMR;;
1;0;7;4:50.923;0;;1:03.055;0;1:41.340;0;2:06.528;0;168.6;40:43.505;10:55:31.936;1:03.055;1:41.340;2:06.528;253.3;Andrew HOWARD;;GT4;;Beechdean AMR;;
1;0;8;4:33.582;0;;43.982;0;1:43.670;0;2:05.930;0;179.3;45:17.087;11:00:05.518;0:43.982;1:43.670;2:05.930;277.4;Andrew HOWARD;;GT4;;Beechdean AMR;;
1;0;9;4:30.022;2;;43.375;2;1:41.101;2;2:05.546;2;181.7;49:47.109;11:04:35.540;0:43.375;1:41.101;2:05.546;281.0;Andrew HOWARD;;GT4;;Beechdean AMR;;
10;0;1;5:04.294;0;;59.719;0;1:47.803;2;2:16.772;0;159.5;5:04.294;10:19:52.725;0:59.719;1:47.803;2:16.772;247.6;Malcolm SANDFORD;;GT4;;EDF Motorsports;;
10;0;2;6:30.160;0;;48.165;0;1:53.793;0;3:48.202;0;125.7;11:34.454;10:26:22.885;0:48.165;1:53.793;3:48.202;249.3;Malcolm SANDFORD;;GT4;;EDF Motorsports;;
10;0;3;6:31.060;0;;57.495;0;2:26.026;0;3:07.539;0;125.4;18:05.514;10:32:53.945;0:57.495;2:26.026;3:07.539;137.1;Malcolm SANDFORD;;GT4;;EDF Motorsports;;
10;0;4;8:04.976;0;B;53.604;0;3:39.676;0;3:31.696;0;101.1;26:10.490;10:40:58.921;0:53.604;3:39.676;3:31.696;70.5;Malcolm SANDFORD;;GT4;;EDF Motorsports;;
10;0;5;6:29.044;0;;2:22.605;0;1:48.917;0;2:17.522;0;126.1;32:39.534;10:47:27.965;2:22.605;1:48.917;2:17.522;262.6;Malcolm SANDFORD;0:01:44.825;GT4;;EDF Motorsports;;
10;0;6;5:16.556;0;;1:11.572;0;1:49.432;0;2:15.552;0;155.0;37:56.090;10:52:44.521;1:11.572;1:49.432;2:15.552;254.5;Malcolm SANDFORD;;GT4;;EDF Motorsports;;
10;0;7;4:48.737;0;;47.118;0;1:48.012;0;2:13.607;0;169.9;42:44.827;10:57:33.258;0:47.118;1:48.012;2:13.607;255.7;Malcolm SANDFORD;;GT4;;EDF Motorsports;;
10;0;8;4:47.592;2;;46.147;2;1:48.234;0;2:13.211;2;170.6;47:32.419;11:02:20.850;0:46.147;1:48.234;2:13.211;269.1;Malcolm SANDFORD;;GT4;;EDF Motorsports;;
11;0;1;4:40.205;0;;1:00.844;0;1:37.147;2;2:02.214;2;173.2;4:40.205;10:19:28.636;1:00.844;1:37.147;2:02.214;290.8;Mark FARMER;;GT3;;TF Sport;;
12;0;1;4:53.367;0;;1:00.454;0;1:43.921;0;2:08.992;0;165.4;4:53.367;10:19:41.798;1:00.454;1:43.921;2:08.992;272.5;Martin BRUNDLE;;GT4;;Aston Martin Performance Centre;;
12;0;2;4:53.654;0;;45.935;0;1:45.197;0;2:22.522;0;167.0;9:47.021;10:24:35.452;0:45.935;1:45.197;2:22.522;261.9;Martin BRUNDLE;;GT4;;Aston Martin Performance Centre;;
12;0;3;8:17.042;0;B;46.872;0;3:55.331;0;3:34.839;0;98.7;18:04.063;10:32:52.494;0:46.872;3:55.331;3:34.839;55.4;Martin BRUNDLE;;GT4;;Aston Martin Performance Centre;;
12;0;4;8:19.698;0;;4:04.968;0;1:50.678;0;2:24.052;0;98.2;26:23.761;10:41:12.192;4:04.968;1:50.678;2:24.052;195.6;Martin BRUNDLE;0:03:30.950;GT4;;Aston Martin Performance Centre;;
12;0;5;4:34.937;0;;43.647;0;1:43.228;0;2:08.062;0;178.4;30:58.698;10:45:47.129;0:43.647;1:43.228;2:08.062;269.1;Martin BRUNDLE;;GT4;;Aston Martin Performance Centre;;
12;0;6;5:02.910;0;;1:13.447;0;1:43.149;0;2:06.314;0;161.9;36:01.608;10:50:50.039;1:13.447;1:43.149;2:06.314;262.6;Martin BRUNDLE;;GT4;;Aston Martin Performance Centre;;
12;0;7;4:49.925;0;;1:00.834;0;1:42.733;0;2:06.358;0;169.2;40:51.533;10:55:39.964;1:00.834;1:42.733;2:06.358;265.1;Martin BRUNDLE;;GT4;;Aston Martin Performance Centre;;
12;0;8;4:30.713;2;;43.145;0;1:42.442;2;2:05.126;2;181.2;45:22.246;11:00:10.677;0:43.145;1:42.442;2:05.126;266.5;Martin BRUNDLE;;GT4;;Aston Martin Performance Centre;;
