NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;2;1;1:55.093;0;;34.958;0;42.543;0;37.592;0;188.3;2:26.732;16:17:26.732;0:34.958;0:42.543;0:37.592;287.2;Mathias BECHE;0:00:09.106;LMP1;;Rebellion Racing;Rebellion;
1;2;2;1:47.631;0;;32.330;0;37.902;0;37.399;0;201.3;4:14.363;16:19:14.363;0:32.330;0:37.902;0:37.399;290.3;Mathias BECHE;;LMP1;;Rebellion Racing;Rebellion;
1;2;3;1:47.912;0;;31.980;0;38.030;0;37.902;0;200.8;6:02.275;16:21:02.275;0:31.980;0:38.030;0:37.902;293.4;Mathias BECHE;;LMP1;;Rebellion Racing;Rebellion;
1;2;4;12:04.680;0;;32.507;0;39.572;0;10:52.601;0;29.9;18:06.955;16:33:06.955;0:32.507;0:39.572;10:52.601;196.0;Mathias BECHE;0:10:14.758;LMP1;;Rebellion Racing;Rebellion;
1;2;5;1:50.031;0;;33.884;0;38.027;0;38.120;0;196.9;19:56.986;16:34:56.986;0:33.884;0:38.027;0:38.120;275.6;Mathias BECHE;;LMP1;;Rebellion Racing;Rebellion;
1;2;6;1:46.272;0;;32.095;0;36.963;0;37.214;0;203.9;21:43.258;16:36:43.258;0:32.095;0:36.963;0:37.214;291.5;Mathias BECHE;;LMP1;;Rebellion Racing;Rebellion;
1;2;7;1:48.337;0;;31.043;0;38.043;0;39.251;0;200.0;23:31.595;16:38:31.595;0:31.043;0:38.043;0:39.251;294.1;Mathias BECHE;;LMP1;;Rebellion Racing;Rebellion;
1;2;8;1:46.340;0;;31.955;0;37.330;0;37.055;0;203.8;25:17.935;16:40:17.935;0:31.955;0:37.330;0:37.055;292.8;Mathias BECHE;;LMP1;;Rebellion Racing;Rebellion;
1;2;9;1:47.913;0;;32.550;0;37.357;0;38.006;0;200.8;27:05.848;16:42:05.848;0:32.550;0:37.357;0:38.006;293.4;Mathias BECHE;;LMP1;;Rebellion Racing;Rebellion;
1;2;10;1:44.855;0;;31.466;0;37.026;0;36.363;2;206.7;28:50.703;16:43:50.703;0:31.466;0:37.026;0:36.363;292.2;Mathias BECHE;;LMP1;;Rebellion Racing;Rebellion;
