NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;2;1;4:57.316;0;;3:43.153;0;45.069;0;29.094;0;69.7;4:57.316;16:29:57.316;3:43.153;0:45.069;0:29.094;278.4;Ben HANLEY;0:03:11.307;LMP1;;DragonSpeed;BR Engineering;
10;2;2;1:45.822;0;;31.999;0;44.934;0;28.889;0;200.7;6:43.138;16:31:43.138;0:31.999;0:44.934;0:28.889;275.5;Ben HANLEY;;LMP1;;DragonSpeed;BR Engineering;
10;2;3;1:44.731;0;;32.287;0;43.894;0;28.550;0;202.8;8:27.869;16:33:27.869;0:32.287;0:43.894;0:28.550;277.6;Ben HANLEY;;LMP1;;DragonSpeed;BR Engineering;
10;2;4;2:18.426;0;B;1:01.817;0;45.404;0;31.205;0;153.5;10:46.295;16:35:46.295;1:01.817;0:45.404;0:31.205;278.4;Ben HANLEY;;LMP1;;DragonSpeed;BR Engineering;
10;2;5;31:15.029;0;;30:03.306;0;43.578;0;28.145;2;11.3;42:01.324;17:07:01.324;30:03.306;0:43.578;0:28.145;276.9;Ben HANLEY;0:29:40.531;LMP1;;DragonSpeed;BR Engineering;
10;2;6;1:43.449;2;;31.637;2;43.469;2;28.343;0;205.4;43:44.773;17:08:44.773;0:31.637;0:43.469;0:28.343;276.9;Ben HANLEY;;LMP1;;DragonSpeed;BR Engineering;
10;2;7;1:49.017;0;B;33.192;0;44.486;0;31.339;0;194.9;45:33.790;17:10:33.790;0:33.192;0:44.486;0:31.339;272.7;Ben HANLEY;;LMP1;;DragonSpeed;BR Engineering;
10;3;8;20:11.945;0;;18:57.261;0;44.985;0;29.699;0;17.5;1:05:45.735;17:30:45.735;18:57.261;0:44.985;0:29.699;276.2;Renger VAN DER ZANDE;0:18:33.277;LMP1;;DragonSpeed;BR Engineering;
10;3;9;1:47.399;0;;33.170;0;44.515;0;29.714;0;197.8;1:07:33.134;17:32:33.134;0:33.170;0:44.515;0:29.714;276.9;Renger VAN DER ZANDE;;LMP1;;DragonSpeed;BR Engineering;
10;3;10;1:46.384;0;;32.600;0;44.376;0;29.408;0;199.7;1:09:19.518;17:34:19.518;0:32.600;0:44.376;0:29.408;276.9;Renger VAN DER ZANDE;;LMP1;;DragonSpeed;BR Engineering;
10;3;11;1:45.755;0;;32.475;0;44.318;0;28.962;1;200.9;1:11:05.273;17:36:05.273;0:32.475;0:44.318;0:28.962;276.9;Renger VAN DER ZANDE;;LMP1;;DragonSpeed;BR Engineering;
10;3;12;1:44.830;0;;32.113;1;43.714;0;29.003;0;202.6;1:12:50.103;17:37:50.103;0:32.113;0:43.714;0:29.003;278.4;Renger VAN DER ZANDE;;LMP1;;DragonSpeed;BR Engineering;
10;3;13;1:46.875;0;;33.097;0;44.803;0;28.975;0;198.8;1:14:36.978;17:39:36.978;0:33.097;0:44.803;0:28.975;276.9;Renger VAN DER ZANDE;;LMP1;;DragonSpeed;BR Engineering;
10;3;14;1:48.286;0;;32.382;0;45.882;0;30.022;0;196.2;1:16:25.264;17:41:25.264;0:32.382;0:45.882;0:30.022;276.9;Renger VAN DER ZANDE;;LMP1;;DragonSpeed;BR Engineering;
10;3;15;1:45.474;0;;32.717;0;43.704;1;29.053;0;201.4;1:18:10.738;17:43:10.738;0:32.717;0:43.704;0:29.053;276.9;Renger VAN DER ZANDE;;LMP1;;DragonSpeed;BR Engineering;
10;3;16;1:47.706;0;B;32.568;0;43.921;0;31.217;0;197.2;1:19:58.444;17:44:58.444;0:32.568;0:43.921;0:31.217;279.1;Renger VAN DER ZANDE;;LMP1;;DragonSpeed;BR Engineering;
10;1;17;3:40.564;0;;2:21.716;0;47.929;0;30.919;0;96.3;1:23:39.008;17:48:39.008;2:21.716;0:47.929;0:30.919;274.8;Henrik HEDMAN;0:01:53.619;LMP1;;DragonSpeed;BR Engineering;
10;1;18;1:52.580;0;;34.085;0;47.415;0;31.080;0;188.7;1:25:31.588;17:50:31.588;0:34.085;0:47.415;0:31.080;274.8;Henrik HEDMAN;;LMP1;;DragonSpeed;BR Engineering;
10;1;19;1:57.501;0;;39.701;0;47.090;0;30.710;0;180.8;1:27:29.089;17:52:29.089;0:39.701;0:47.090;0:30.710;274.8;Henrik HEDMAN;;LMP1;;DragonSpeed;BR Engineering;
10;1;20;1:50.801;0;;33.712;1;46.805;0;30.284;1;191.7;1:29:19.890;17:54:19.890;0:33.712;0:46.805;0:30.284;275.5;Henrik HEDMAN;;LMP1;;DragonSpeed;BR Engineering;
10;1;21;1:50.634;0;;33.726;0;46.261;1;30.647;0;192.0;1:31:10.524;17:56:10.524;0:33.726;0:46.261;0:30.647;247.1;Henrik HEDMAN;;LMP1;;DragonSpeed;BR Engineering;
11;2;1;2:41.186;0;;1:25.209;0;46.007;0;29.970;0;128.6;2:41.186;16:27:41.186;1:25.209;0:46.007;0:29.970;281.2;Vitaly PETROV;0:00:52.829;LMP1;;SMP Racing;BR Engineering;
11;2;2;1:45.769;0;;31.952;0;44.863;0;28.954;0;200.8;4:26.955;16:29:26.955;0:31.952;0:44.863;0:28.954;282.0;Vitaly PETROV;;LMP1;;SMP Racing;BR Engineering;
