NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;7:47.827;0;;6:15.589;0;57.112;0;35.126;0;44.3;7:47.827;18:17:47.827;6:15.589;0:57.112;0:35.126;219.5;Guanyu Zhou;0:05:33.341;;;PREMA Theodore Racing;;
1;0;2;2:03.185;0;;38.708;0;51.115;0;33.362;0;172.5;9:51.012;18:19:51.012;0:38.708;0:51.115;0:33.362;216.9;Guanyu Zhou;;;;PREMA Theodore Racing;;
1;0;3;1:51.134;0;;34.717;0;45.885;0;30.532;0;191.2;11:42.146;18:21:42.146;0:34.717;0:45.885;0:30.532;229.3;Guanyu Zhou;;;;PREMA Theodore Racing;;
1;0;4;1:50.805;0;;34.639;2;45.652;0;30.514;0;191.7;13:32.951;18:23:32.951;0:34.639;0:45.652;0:30.514;230.8;Guanyu Zhou;;;;PREMA Theodore Racing;;
1;0;5;2:12.319;0;;41.894;0;58.415;0;32.010;0;160.5;15:45.270;18:25:45.270;0:41.894;0:58.415;0:32.010;226.4;Guanyu Zhou;;;;PREMA Theodore Racing;;
1;0;6;1:50.708;2;;34.666;0;45.627;2;30.415;2;191.9;17:35.978;18:27:35.978;0:34.666;0:45.627;0:30.415;229.8;Guanyu Zhou;;;;PREMA Theodore Racing;;
1;0;7;2:09.745;0;;41.834;0;51.605;0;36.306;0;163.7;19:45.723;18:29:45.723;0:41.834;0:51.605;0:36.306;173.6;Guanyu Zhou;;;;PREMA Theodore Racing;;
1;0;8;1:50.846;0;;34.670;0;45.710;0;30.466;0;191.6;21:36.569;18:31:36.569;0:34.670;0:45.710;0:30.466;230.3;Guanyu Zhou;;;;PREMA Theodore Racing;;
10;0;1;7:17.626;0;;5:46.912;0;55.990;0;34.724;0;47.4;7:17.626;18:17:17.626;5:46.912;0:55.990;0:34.724;203.4;Robert Shvartzman;0:05:10.217;R;;PREMA Theodore Racing;;
10;0;2;2:00.818;0;;35.853;0;49.685;0;35.280;0;175.8;9:18.444;18:19:18.444;0:35.853;0:49.685;0:35.280;183.1;Robert Shvartzman;;R;;PREMA Theodore Racing;;
10;0;3;1:50.849;0;;34.667;0;45.736;0;30.446;2;191.6;11:09.293;18:21:09.293;0:34.667;0:45.736;0:30.446;229.8;Robert Shvartzman;;R;;PREMA Theodore Racing;;
10;0;4;1:50.883;0;;34.563;2;45.828;0;30.492;0;191.6;13:00.176;18:23:00.176;0:34.563;0:45.828;0:30.492;230.8;Robert Shvartzman;;R;;PREMA Theodore Racing;;
