NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;2:51.517;0;;51.716;0;1:17.078;0;42.723;0;144.4;2:51.517;12:17:51.517;0:51.716;1:17.078;0:42.723;194.2;Xavier MAASSEN;0:00:11.025;A;II;DVB Racing;;
1;0;2;2:26.604;0;;41.321;0;1:08.068;0;37.215;0;172.0;5:18.121;12:20:18.121;0:41.321;1:08.068;0:37.215;247.4;Xavier MAASSEN;;A;II;DVB Racing;;
1;0;3;2:25.610;0;;40.119;0;1:06.275;0;39.216;0;173.2;7:43.731;12:22:43.731;0:40.119;1:06.275;0:39.216;266.2;Xavier MAASSEN;;A;II;DVB Racing;;
1;0;4;2:23.239;2;;40.202;0;1:06.254;2;36.783;2;176.0;10:06.970;12:25:06.970;0:40.202;1:06.254;0:36.783;266.9;Xavier MAASSEN;;A;II;DVB Racing;;
1;0;5;2:23.314;0;;40.053;2;1:06.473;0;36.788;0;175.9;12:30.284;12:27:30.284;0:40.053;1:06.473;0:36.788;264.3;Xavier MAASSEN;;A;II;DVB Racing;;
112;0;1;5:34.850;0;;3:18.396;0;1:33.193;0;43.261;0;74.0;5:34.850;12:20:34.850;3:18.396;1:33.193;0:43.261;83.2;Alessio ROVERA;0:02:34.613;A;II;Tsunami RT;;
112;0;2;2:23.501;0;;40.495;0;1:06.367;0;36.639;0;175.7;7:58.351;12:22:58.351;0:40.495;1:06.367;0:36.639;259.9;Alessio ROVERA;;A;II;Tsunami RT;;
112;0;3;2:22.484;2;;39.765;2;1:06.225;2;36.494;2;177.0;10:20.835;12:25:20.835;0:39.765;1:06.225;0:36.494;266.2;Alessio ROVERA;;A;II;Tsunami RT;;
14;0;1;3:58.750;0;;1:45.929;0;1:24.968;0;47.853;0;103.8;3:58.750;12:18:58.750;1:45.929;1:24.968;0:47.853;135.6;Alex MARCHOIS;0:01:06.821;A;II;FAL Racing;;
14;0;2;2:42.178;0;;47.583;0;1:13.914;0;40.681;0;155.5;6:40.928;12:21:40.928;0:47.583;1:13.914;0:40.681;233.0;Alex MARCHOIS;;A;II;FAL Racing;;
