NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;1;1;3:12.202;0;;1:48.137;0;46.662;0;37.403;0;96.7;3:12.202;13:03:12.202;1:48.137;0:46.662;0:37.403;159.6;Norman NATO;0:01:08.164;LMP1;;Rebellion Racing;Rebellion;
1;1;2;1:54.398;0;;36.718;0;42.239;0;35.441;0;170.3;5:06.600;13:05:06.600;0:36.718;0:42.239;0:35.441;255.0;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;1;3;1:56.510;0;;35.935;0;44.279;0;36.296;0;167.2;7:03.110;13:07:03.110;0:35.935;0:44.279;0:36.296;270.9;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;1;4;2:01.437;0;B;35.753;0;42.245;0;43.439;0;160.4;9:04.547;13:09:04.547;0:35.753;0:42.245;0:43.439;270.2;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;2;5;6:00.296;0;;4:39.721;0;44.642;0;35.933;0;54.1;15:04.843;13:15:04.843;4:39.721;0:44.642;0:35.933;150.1;Louis DELETRAZ;0:04:03.827;LMP1;;Rebellion Racing;Rebellion;
1;2;6;1:52.221;0;;35.735;0;42.203;0;34.283;0;173.6;16:57.064;13:16:57.064;0:35.735;0:42.203;0:34.283;264.3;Louis DELETRAZ;;LMP1;;Rebellion Racing;Rebellion;
1;2;7;1:51.315;0;;35.267;0;41.470;0;34.578;0;175.0;18:48.379;13:18:48.379;0:35.267;0:41.470;0:34.578;289.7;Louis DELETRAZ;;LMP1;;Rebellion Racing;Rebellion;
1;2;8;1:51.551;0;;35.250;0;41.275;0;35.026;0;174.7;20:39.930;13:20:39.930;0:35.250;0:41.275;0:35.026;273.6;Louis DELETRAZ;;LMP1;;Rebellion Racing;Rebellion;
1;2;9;1:50.789;0;;35.739;0;41.180;0;33.870;0;175.9;22:30.719;13:22:30.719;0:35.739;0:41.180;0:33.870;292.1;Louis DELETRAZ;;LMP1;;Rebellion Racing;Rebellion;
1;2;10;1:49.359;0;;34.854;0;40.857;0;33.648;0;178.2;24:20.078;13:24:20.078;0:34.854;0:40.857;0:33.648;291.3;Louis DELETRAZ;;LMP1;;Rebellion Racing;Rebellion;
