NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;1;1;1:39.002;0;;;0;;0;;0;187.7;1:39.002;12:31:39.002;;;;;Ali Al Khalifa;0:00:35.921;ProAm;GCC;Team Bahrain;;
10;1;2;2:17.996;0;;43.074;0;50.945;0;43.977;0;141.2;3:56.998;12:33:56.998;0:43.074;0:50.945;0:43.977;173.9;Ali Al Khalifa;;ProAm;GCC;Team Bahrain;;
10;1;3;2:07.253;0;;40.143;0;46.725;0;40.385;0;153.1;6:04.251;12:36:04.251;0:40.143;0:46.725;0:40.385;222.0;Ali Al Khalifa;;ProAm;GCC;Team Bahrain;;
10;1;4;2:06.870;0;;40.302;0;46.321;0;40.247;0;153.6;8:11.121;12:38:11.121;0:40.302;0:46.321;0:40.247;231.0;Ali Al Khalifa;;ProAm;GCC;Team Bahrain;;
10;1;5;2:05.958;0;;39.418;2;46.310;0;40.230;0;154.7;10:17.079;12:40:17.079;0:39.418;0:46.310;0:40.230;228.1;Ali Al Khalifa;;ProAm;GCC;Team Bahrain;;
10;1;6;2:05.945;2;;39.470;0;46.313;0;40.162;0;154.7;12:23.024;12:42:23.024;0:39.470;0:46.313;0:40.162;232.5;Ali Al Khalifa;;ProAm;GCC;Team Bahrain;;
10;1;7;4:59.606;0;B;39.628;0;;0;;0;65.0;17:22.630;12:47:22.630;0:39.628;;;230.1;Ali Al Khalifa;0:02:54.307;ProAm;GCC;Team Bahrain;;
10;1;8;2:12.650;0;;45.126;0;46.853;0;40.671;0;146.9;19:35.280;12:49:35.280;0:45.126;0:46.853;0:40.671;130.6;Ali Al Khalifa;;ProAm;GCC;Team Bahrain;;
10;1;9;2:07.362;0;;39.911;0;46.998;0;40.453;0;153.0;21:42.642;12:51:42.642;0:39.911;0:46.998;0:40.453;217.2;Ali Al Khalifa;;ProAm;GCC;Team Bahrain;;
10;1;10;2:06.518;0;;39.968;0;46.276;0;40.274;0;154.0;23:49.160;12:53:49.160;0:39.968;0:46.276;0:40.274;230.1;Ali Al Khalifa;;ProAm;GCC;Team Bahrain;;
10;1;11;2:06.064;0;;39.699;0;46.238;2;40.127;2;154.6;25:55.224;12:55:55.224;0:39.699;0:46.238;0:40.127;232.0;Ali Al Khalifa;;ProAm;GCC;Team Bahrain;;
12;1;1;1:36.051;0;;;0;;0;;0;193.5;1:36.051;12:31:36.051;;;;;Philipp Sager;0:00:33.586;ProAm;;;;
12;1;2;2:26.756;0;;44.038;0;52.400;0;50.318;0;132.8;4:02.807;12:34:02.807;0:44.038;0:52.400;0:50.318;176.8;Philipp Sager;;ProAm;;;;
12;1;3;2:12.540;0;;41.878;0;49.162;0;41.500;0;147.0;6:15.347;12:36:15.347;0:41.878;0:49.162;0:41.500;182.7;Philipp Sager;;ProAm;;;;
12;1;4;2:10.855;0;;40.946;0;48.554;0;41.355;0;148.9;8:26.202;12:38:26.202;0:40.946;0:48.554;0:41.355;201.8;Philipp Sager;;ProAm;;;;
12;1;5;2:09.648;0;;40.647;0;47.962;0;41.039;0;150.3;10:35.850;12:40:35.850;0:40.647;0:47.962;0:41.039;201.0;Philipp Sager;;ProAm;;;;
12;1;6;2:09.438;0;;40.909;0;47.428;2;41.101;0;150.5;12:45.288;12:42:45.288;0:40.909;0:47.428;0:41.101;215.4;Philipp Sager;;ProAm;;;;
12;1;7;2:09.266;0;;40.431;0;47.723;0;41.112;0;150.7;14:54.554;12:44:54.554;0:40.431;0:47.723;0:41.112;218.0;Philipp Sager;;ProAm;;;;
