NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;2;1;2:10.582;0;;54.728;0;41.703;0;34.151;0;142.3;2:10.582;11:17:10.582;0:54.728;0:41.703;0:34.151;166.7;Gustavo MENEZES;0:00:18.664;LMP1;;Rebellion Racing;Rebellion;
1;2;2;1:49.539;0;;34.748;0;40.104;0;34.687;0;177.9;4:00.121;11:19:00.121;0:34.748;0:40.104;0:34.687;247.4;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;2;3;1:47.882;0;;34.402;0;40.245;0;33.235;2;180.6;5:48.003;11:20:48.003;0:34.402;0:40.245;0:33.235;264.3;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;2;4;1:48.600;0;;34.382;0;39.777;0;34.441;0;179.4;7:36.603;11:22:36.603;0:34.382;0:39.777;0:34.441;280.7;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;2;5;1:47.646;0;;34.260;0;39.744;0;33.642;0;181.0;9:24.249;11:24:24.249;0:34.260;0:39.744;0:33.642;280.0;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;2;6;1:53.778;0;B;34.466;0;40.434;0;38.878;0;171.2;11:18.027;11:26:18.027;0:34.466;0:40.434;0:38.878;280.7;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;2;7;4:10.322;0;;2:56.637;0;39.948;0;33.737;0;77.8;15:28.349;11:30:28.349;2:56.637;0:39.948;0:33.737;193.5;Gustavo MENEZES;0:02:26.610;LMP1;;Rebellion Racing;Rebellion;
1;2;8;1:48.425;0;;34.456;0;40.720;0;33.249;0;179.7;17:16.774;11:32:16.774;0:34.456;0:40.720;0:33.249;292.9;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;2;9;1:47.190;2;;34.053;2;39.710;2;33.427;0;181.8;19:03.964;11:34:03.964;0:34.053;0:39.710;0:33.427;292.9;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;2;10;1:49.516;0;;35.000;0;40.940;0;33.576;0;177.9;20:53.480;11:35:53.480;0:35.000;0:40.940;0:33.576;295.3;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;2;11;1:48.367;0;;34.458;0;40.240;0;33.669;0;179.8;22:41.847;11:37:41.847;0:34.458;0:40.240;0:33.669;296.1;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;2;12;1:51.423;0;B;34.178;0;40.141;0;37.104;0;174.9;24:33.270;11:39:33.270;0:34.178;0:40.141;0:37.104;292.1;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;1;13;3:26.637;0;;2:12.642;0;40.279;1;33.716;1;94.3;27:59.907;11:42:59.907;2:12.642;0:40.279;0:33.716;183.7;Bruno SENNA;0:01:41.757;LMP1;;Rebellion Racing;Rebellion;
1;1;14;1:50.527;0;;34.871;1;41.028;0;34.628;0;176.3;29:50.434;11:44:50.434;0:34.871;0:41.028;0:34.628;275.0;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;15;2:29.631;0;B;38.324;0;55.316;0;55.991;0;130.2;32:20.065;11:47:20.065;0:38.324;0:55.316;0:55.991;274.3;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
22;1;1;2:25.555;0;;1:05.978;0;43.698;0;35.879;0;127.7;2:25.555;11:17:25.555;1:05.978;0:43.698;0:35.879;129.8;Philip HANSON;0:00:29.353;LMP2;;United Autosports;Oreca;
22;1;2;1:52.401;0;;36.305;0;41.295;0;34.801;0;173.3;4:17.956;11:19:17.956;0:36.305;0:41.295;0:34.801;211.6;Philip HANSON;;LMP2;;United Autosports;Oreca;
22;1;3;1:51.669;0;;35.558;0;41.123;0;34.988;0;174.5;6:09.625;11:21:09.625;0:35.558;0:41.123;0:34.988;256.8;Philip HANSON;;LMP2;;United Autosports;Oreca;
22;1;4;1:50.809;0;;35.143;0;41.176;0;34.490;0;175.8;8:00.434;11:23:00.434;0:35.143;0:41.176;0:34.490;278.6;Philip HANSON;;LMP2;;United Autosports;Oreca;
22;1;5;1:57.832;0;B;35.134;0;40.669;0;42.029;0;165.3;9:58.266;11:24:58.266;0:35.134;0:40.669;0:42.029;287.4;Philip HANSON;;LMP2;;United Autosports;Oreca;
22;1;6;8:16.757;0;;6:45.948;0;49.394;0;41.415;0;39.2;18:15.023;11:33:15.023;6:45.948;0:49.394;0:41.415;152.0;Philip HANSON;0:06:11.700;LMP2;;United Autosports;Oreca;
22;1;7;1:45.970;2;;34.101;1;38.867;2;33.002;2;183.9;20:00.993;11:35:00.993;0:34.101;0:38.867;0:33.002;272.9;Philip HANSON;;LMP2;;United Autosports;Oreca;
22;1;8;1:54.580;0;B;35.018;0;39.676;0;39.886;0;170.0;21:55.573;11:36:55.573;0:35.018;0:39.676;0:39.886;243.0;Philip HANSON;;LMP2;;United Autosports;Oreca;
22;3;9;3:51.591;0;;2:29.129;0;46.486;0;35.976;0;84.1;25:47.164;11:40:47.164;2:29.129;0:46.486;0:35.976;177.1;Paul DI RESTA;0:01:52.995;LMP2;;United Autosports;Oreca;
22;3;10;1:47.257;0;;34.255;0;39.710;0;33.292;1;181.6;27:34.421;11:42:34.421;0:34.255;0:39.710;0:33.292;290.5;Paul DI RESTA;;LMP2;;United Autosports;Oreca;
22;3;11;2:06.859;0;;34.076;2;39.566;1;53.217;0;153.6;29:41.280;11:44:41.280;0:34.076;0:39.566;0:53.217;289.7;Paul DI RESTA;;LMP2;;United Autosports;Oreca;
22;3;12;1:55.758;0;;37.739;0;43.117;0;34.902;0;168.3;31:37.038;11:46:37.038;0:37.739;0:43.117;0:34.902;218.9;Paul DI RESTA;;LMP2;;United Autosports;Oreca;
