NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;1;1;3:53.040;0;;2:27.831;0;45.643;0;39.566;0;79.8;3:53.040;10:33:53.040;2:27.831;0:45.643;0:39.566;214.6;Bent Viscaal;;;;MRF Challenge 2019;;
10;1;2;2:02.730;0;;39.633;0;44.663;0;38.434;0;158.7;5:55.770;10:35:55.770;0:39.633;0:44.663;0:38.434;226.7;Bent Viscaal;;;;MRF Challenge 2019;;
10;1;3;2:01.261;0;;39.310;0;43.709;0;38.242;0;160.7;7:57.031;10:37:57.031;0:39.310;0:43.709;0:38.242;231.5;Bent Viscaal;;;;MRF Challenge 2019;;
10;1;4;2:00.917;0;;39.298;0;43.565;0;38.054;0;161.1;9:57.948;10:39:57.948;0:39.298;0:43.565;0:38.054;232.5;Bent Viscaal;;;;MRF Challenge 2019;;
10;1;5;6:04.479;0;B;39.139;0;;0;;0;53.5;16:02.427;10:46:02.427;0:39.139;;;233.5;Bent Viscaal;0:04:05.765;;;MRF Challenge 2019;;
10;1;6;2:04.212;0;;40.722;0;45.151;0;38.339;0;156.9;18:06.639;10:48:06.639;0:40.722;0:45.151;0:38.339;224.3;Bent Viscaal;;;;MRF Challenge 2019;;
10;1;7;2:01.266;0;;39.336;0;43.413;0;38.517;0;160.7;20:07.905;10:50:07.905;0:39.336;0:43.413;0:38.517;230.1;Bent Viscaal;;;;MRF Challenge 2019;;
10;1;8;1:59.918;2;;38.965;0;43.238;0;37.715;3;162.5;22:07.823;10:52:07.823;0:38.965;0:43.238;0:37.715;231.5;Bent Viscaal;;;;MRF Challenge 2019;;
10;1;9;2:00.141;0;;39.119;0;43.173;2;37.849;0;162.2;24:07.964;10:54:07.964;0:39.119;0:43.173;0:37.849;232.0;Bent Viscaal;;;;MRF Challenge 2019;;
10;1;10;2:00.103;0;;38.859;2;43.241;0;38.003;0;162.2;26:08.067;10:56:08.067;0:38.859;0:43.241;0:38.003;232.5;Bent Viscaal;;;;MRF Challenge 2019;;
10;1;11;2:00.216;0;;39.001;0;43.240;0;37.975;0;162.1;28:08.283;10:58:08.283;0:39.001;0:43.240;0:37.975;233.0;Bent Viscaal;;;;MRF Challenge 2019;;
10;1;12;2:04.431;0;;41.790;0;44.649;0;37.992;0;156.6;30:12.714;11:00:12.714;0:41.790;0:44.649;0:37.992;167.5;Bent Viscaal;;;;MRF Challenge 2019;;
13;1;1;3:55.000;0;;2:28.689;0;46.513;0;39.798;0;79.1;3:55.000;10:33:55.000;2:28.689;0:46.513;0:39.798;124.7;Reece Ushijima;;;;MRF Challenge 2019;;
13;1;2;2:08.174;0;;40.577;0;48.388;0;39.209;0;152.0;6:03.174;10:36:03.174;0:40.577;0:48.388;0:39.209;227.2;Reece Ushijima;;;;MRF Challenge 2019;;
13;1;3;2:03.870;0;;40.134;0;44.897;0;38.839;0;157.3;8:07.044;10:38:07.044;0:40.134;0:44.897;0:38.839;230.6;Reece Ushijima;;;;MRF Challenge 2019;;
13;1;4;2:03.252;0;;40.073;0;44.620;0;38.559;0;158.1;10:10.296;10:40:10.296;0:40.073;0:44.620;0:38.559;230.1;Reece Ushijima;;;;MRF Challenge 2019;;
13;1;5;2:03.106;0;;39.651;0;44.710;0;38.745;0;158.3;12:13.402;10:42:13.402;0:39.651;0:44.710;0:38.745;231.0;Reece Ushijima;;;;MRF Challenge 2019;;
13;1;6;4:16.943;0;B;39.683;0;;0;;0;75.8;16:30.345;10:46:30.345;0:39.683;;;231.0;Reece Ushijima;0:02:17.286;;;MRF Challenge 2019;;
13;1;7;2:05.118;0;;41.208;0;45.295;0;38.615;0;155.7;18:35.463;10:48:35.463;0:41.208;0:45.295;0:38.615;223.4;Reece Ushijima;;;;MRF Challenge 2019;;
13;1;8;2:03.312;0;;40.832;0;44.058;0;38.422;0;158.0;20:38.775;10:50:38.775;0:40.832;0:44.058;0:38.422;229.6;Reece Ushijima;;;;MRF Challenge 2019;;
13;1;9;2:01.670;0;;39.362;0;44.078;0;38.230;0;160.1;22:40.445;10:52:40.445;0:39.362;0:44.078;0:38.230;231.0;Reece Ushijima;;;;MRF Challenge 2019;;
