NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;1;1;1:53.066;0;;39.015;0;39.432;0;34.619;0;164.4;1:53.066;17:11:53.066;0:39.015;0:39.432;0:34.619;179.7;Bruno SENNA;0:00:05.959;LMP1;;Rebellion Racing;Rebellion;
1;1;2;1:42.396;3;;32.955;0;37.716;2;31.725;3;190.3;3:35.462;17:13:35.462;0:32.955;0:37.716;0:31.725;292.1;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;3;1:46.209;0;B;32.861;3;37.767;0;35.581;0;183.4;5:21.671;17:15:21.671;0:32.861;0:37.767;0:35.581;295.3;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;4;2:49.524;0;;1:35.514;0;40.831;0;33.179;0;114.9;8:11.195;17:18:11.195;1:35.514;0:40.831;0:33.179;186.2;Norman NATO;0:01:03.793;LMP1;;Rebellion Racing;Rebellion;
1;3;5;1:43.530;0;;33.323;0;38.111;1;32.096;0;188.2;9:54.725;17:19:54.725;0:33.323;0:38.111;0:32.096;298.5;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;6;1:43.562;0;;33.271;1;38.207;0;32.084;1;188.1;11:38.287;17:21:38.287;0:33.271;0:38.207;0:32.084;299.3;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;7;2:51.639;0;B;47.086;0;;0;;0;113.5;14:29.926;17:24:29.926;0:47.086;;;215.0;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
22;3;1;3:20.984;0;;1:59.528;0;45.908;0;35.548;0;92.5;3:20.984;17:13:20.984;1:59.528;0:45.908;0:35.548;163.7;Paul DI RESTA;0:01:20.688;LMP2;;United Autosports;Oreca;
22;3;2;1:44.869;2;;33.576;2;38.566;1;32.727;2;185.8;5:05.853;17:15:05.853;0:33.576;0:38.566;0:32.727;290.5;Paul DI RESTA;;LMP2;;United Autosports;Oreca;
22;3;3;1:59.911;0;B;38.034;0;42.718;0;39.159;0;162.5;7:05.764;17:17:05.764;0:38.034;0:42.718;0:39.159;225.8;Paul DI RESTA;;LMP2;;United Autosports;Oreca;
22;1;4;4:04.036;0;;2:41.381;0;45.925;0;36.730;0;79.8;11:09.800;17:21:09.800;2:41.381;0:45.925;0:36.730;151.8;Philip HANSON;0:02:06.690;LMP2;;United Autosports;Oreca;
22;1;5;1:45.846;0;;33.995;1;38.450;2;33.401;1;184.1;12:55.646;17:22:55.646;0:33.995;0:38.450;0:33.401;287.4;Philip HANSON;;LMP2;;United Autosports;Oreca;
22;1;6;2:09.217;0;B;36.148;0;49.515;0;43.554;0;150.8;15:04.863;17:25:04.863;0:36.148;0:49.515;0:43.554;277.1;Philip HANSON;;LMP2;;United Autosports;Oreca;
26;2;1;2:24.798;0;;53.774;0;50.390;0;40.634;0;128.4;2:24.798;17:12:24.798;0:53.774;0:50.390;0:40.634;163.4;Job VAN UITERT;0:00:14.130;LMP2;;G-Drive Racing;Aurus;
26;2;2;1:46.168;0;;34.255;1;38.601;2;33.312;1;183.5;4:10.966;17:14:10.966;0:34.255;0:38.601;0:33.312;274.3;Job VAN UITERT;;LMP2;;G-Drive Racing;Aurus;
26;2;3;2:03.074;0;B;37.696;0;43.285;0;42.093;0;158.3;6:14.040;17:16:14.040;0:37.696;0:43.285;0:42.093;202.2;Job VAN UITERT;;LMP2;;G-Drive Racing;Aurus;
26;3;4;3:21.453;0;;2:02.364;0;43.999;0;35.090;0;96.7;9:35.493;17:19:35.493;2:02.364;0:43.999;0:35.090;166.7;Jean-Eric VERGNE;0:01:28.642;LMP2;;G-Drive Racing;Aurus;
26;3;5;1:45.738;2;;33.984;2;38.781;1;32.973;2;184.3;11:21.231;17:21:21.231;0:33.984;0:38.781;0:32.973;278.6;Jean-Eric VERGNE;;LMP2;;G-Drive Racing;Aurus;
26;3;6;1:56.381;0;B;35.316;0;42.657;0;38.408;0;167.4;13:17.612;17:23:17.612;0:35.316;0:42.657;0:38.408;292.1;Jean-Eric VERGNE;;LMP2;;G-Drive Racing;Aurus;
