NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;1;1;16:44.628;0;;;0;;0;;0;18.5;16:44.628;16:01:44.628;;;;;Ali Al Khalifa;0:15:42.808;ProAm;;Team Bahrain;;
10;1;2;2:11.133;0;;42.200;0;48.386;0;40.547;0;148.6;18:55.761;16:03:55.761;0:42.200;0:48.386;0:40.547;;Ali Al Khalifa;;ProAm;;Team Bahrain;;
10;1;3;2:05.240;0;;39.462;0;46.194;0;39.584;0;155.6;21:01.001;16:06:01.001;0:39.462;0:46.194;0:39.584;;Ali Al Khalifa;;ProAm;;Team Bahrain;;
10;1;4;2:03.827;2;;38.979;0;45.545;0;39.303;2;157.3;23:04.828;16:08:04.828;0:38.979;0:45.545;0:39.303;;Ali Al Khalifa;;ProAm;;Team Bahrain;;
10;1;5;2:04.017;0;;38.894;2;45.486;2;39.637;0;157.1;25:08.845;16:10:08.845;0:38.894;0:45.486;0:39.637;;Ali Al Khalifa;;ProAm;;Team Bahrain;;
12;1;1;16:57.357;0;;;0;;0;;0;18.3;16:57.357;16:01:57.357;;;;;Philipp Sager;0:15:56.503;ProAm;;;;
12;1;2;2:15.376;0;;44.420;0;49.445;0;41.511;0;143.9;19:12.733;16:04:12.733;0:44.420;0:49.445;0:41.511;;Philipp Sager;;ProAm;;;;
12;1;3;2:06.462;0;;39.953;0;46.303;0;40.206;0;154.1;21:19.195;16:06:19.195;0:39.953;0:46.303;0:40.206;;Philipp Sager;;ProAm;;;;
12;1;4;2:05.643;0;;39.422;0;46.258;0;39.963;0;155.1;23:24.838;16:08:24.838;0:39.422;0:46.258;0:39.963;;Philipp Sager;;ProAm;;;;
12;1;5;2:05.356;0;;39.368;0;46.032;0;39.956;0;155.4;25:30.194;16:10:30.194;0:39.368;0:46.032;0:39.956;;Philipp Sager;;ProAm;;;;
12;1;6;2:05.141;2;;39.576;0;45.711;2;39.854;2;155.7;27:35.335;16:12:35.335;0:39.576;0:45.711;0:39.854;;Philipp Sager;;ProAm;;;;
12;1;7;2:06.343;0;;39.296;2;46.364;0;40.683;0;154.2;29:41.678;16:14:41.678;0:39.296;0:46.364;0:40.683;;Philipp Sager;;ProAm;;;;
16;1;1;19:20.307;0;;;0;;0;;0;16.0;19:20.307;16:04:20.307;;;;;Berkay Besler;0:18:07.607;Pro;;;;
16;1;2;2:32.631;0;;50.139;0;57.541;0;44.951;0;127.6;21:52.938;16:06:52.938;0:50.139;0:57.541;0:44.951;;Berkay Besler;;Pro;;;;
16;1;3;2:03.316;0;;38.866;0;45.371;0;39.079;2;158.0;23:56.254;16:08:56.254;0:38.866;0:45.371;0:39.079;;Berkay Besler;;Pro;;;;
16;1;4;2:03.149;2;;38.707;0;45.001;2;39.441;0;158.2;25:59.403;16:10:59.403;0:38.707;0:45.001;0:39.441;;Berkay Besler;;Pro;;;;
16;1;5;2:03.487;0;;38.652;2;45.335;0;39.500;0;157.8;28:02.890;16:13:02.890;0:38.652;0:45.335;0:39.500;;Berkay Besler;;Pro;;;;
16;1;6;2:06.598;0;;38.857;0;45.248;0;42.493;0;153.9;30:09.488;16:15:09.488;0:38.857;0:45.248;0:42.493;;Berkay Besler;;Pro;;;;
18;1;1;18:46.128;0;;;0;;0;;0;16.5;18:46.128;16:03:46.128;;;;;Julian Hanses;0:17:48.168;Pro;;;;
18;1;2;2:10.677;0;;43.119;0;47.249;0;40.309;0;149.1;20:56.805;16:05:56.805;0:43.119;0:47.249;0:40.309;;Julian Hanses;;Pro;;;;
18;1;3;2:04.278;0;;39.224;0;45.779;0;39.275;0;156.8;23:01.083;16:08:01.083;0:39.224;0:45.779;0:39.275;;Julian Hanses;;Pro;;;;
18;1;4;2:03.116;2;;38.748;0;45.311;0;39.057;2;158.3;25:04.199;16:10:04.199;0:38.748;0:45.311;0:39.057;;Julian Hanses;;Pro;;;;
18;1;5;2:03.559;0;;38.898;0;45.213;2;39.448;0;157.7;27:07.758;16:12:07.758;0:38.898;0:45.213;0:39.448;;Julian Hanses;;Pro;;;;
22;1;1;17:21.765;0;;;0;;0;;0;17.8;17:21.765;16:02:21.765;;;;;Christoffer Bergstroem;0:16:21.607;ProAm;;Team Sweden;;
22;1;2;2:10.280;0;;43.273;0;46.886;0;40.121;0;149.5;19:32.045;16:04:32.045;0:43.273;0:46.886;0:40.121;;Christoffer Bergstroem;;ProAm;;Team Sweden;;
22;1;3;2:05.375;0;;39.486;0;46.173;0;39.716;0;155.4;21:37.420;16:06:37.420;0:39.486;0:46.173;0:39.716;;Christoffer Bergstroem;;ProAm;;Team Sweden;;
22;1;4;2:04.975;0;;39.240;0;46.148;0;39.587;0;155.9;23:42.395;16:08:42.395;0:39.240;0:46.148;0:39.587;;Christoffer Bergstroem;;ProAm;;Team Sweden;;
22;1;5;2:04.547;0;;39.086;0;46.120;0;39.341;2;156.4;25:46.942;16:10:46.942;0:39.086;0:46.120;0:39.341;;Christoffer Bergstroem;;ProAm;;Team Sweden;;
22;1;6;2:04.323;2;;39.043;2;45.890;2;39.390;0;156.7;27:51.265;16:12:51.265;0:39.043;0:45.890;0:39.390;;Christoffer Bergstroem;;ProAm;;Team Sweden;;
22;1;7;2:04.893;0;;39.143;0;46.027;0;39.723;0;156.0;29:56.158;16:14:56.158;0:39.143;0:46.027;0:39.723;;Christoffer Bergstroem;;ProAm;;Team Sweden;;
27;1;1;20:13.571;0;;;0;;0;;0;15.3;20:13.571;16:05:13.571;;;;;J.B. Simmenauer;0:19:09.901;Pro;;;;
27;1;2;2:26.395;0;;48.584;0;56.695;0;41.116;0;133.1;22:39.966;16:07:39.966;0:48.584;0:56.695;0:41.116;;J.B. Simmenauer;;Pro;;;;
