NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;1;1;2:22.756;0;;50.884;0;41.374;0;50.498;0;130.2;2:22.756;15:02:02.030;0:50.884;0:41.374;0:50.498;;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;2;2:44.077;0;;51.408;0;59.298;0;53.371;0;118.7;5:06.833;15:04:46.107;0:51.408;0:59.298;0:53.371;179.1;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;3;2:32.758;0;;49.177;0;55.487;0;48.094;0;127.5;7:39.591;15:07:18.865;0:49.177;0:55.487;0:48.094;162.5;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;4;2:12.281;0;;45.339;0;44.820;0;42.122;0;147.3;9:51.872;15:09:31.146;0:45.339;0:44.820;0:42.122;199.2;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;5;1:50.621;0;;36.212;0;40.065;0;34.344;0;176.1;11:42.493;15:11:21.767;0:36.212;0:40.065;0:34.344;216.3;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;6;1:46.241;0;;33.849;0;39.448;0;32.944;0;183.4;13:28.734;15:13:08.008;0:33.849;0:39.448;0:32.944;285.2;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;7;1:46.234;0;;34.512;0;38.934;0;32.788;1;183.4;15:14.968;15:14:54.242;0:34.512;0:38.934;0:32.788;259.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;8;1:46.992;0;;34.125;0;39.717;0;33.150;0;182.1;17:01.960;15:16:41.234;0:34.125;0:39.717;0:33.150;287.4;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;9;1:47.372;0;;34.356;0;39.698;0;33.318;0;181.5;18:49.332;15:18:28.606;0:34.356;0:39.698;0:33.318;273.6;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;10;1:47.789;0;;34.406;0;40.241;0;33.142;0;180.8;20:37.121;15:20:16.395;0:34.406;0:40.241;0:33.142;284.4;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;11;1:47.736;0;;34.464;0;39.653;0;33.619;0;180.8;22:24.857;15:22:04.131;0:34.464;0:39.653;0:33.619;270.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;12;1:47.619;0;;34.216;0;39.562;0;33.841;0;181.0;24:12.476;15:23:51.750;0:34.216;0:39.562;0:33.841;280.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;13;1:47.997;0;;34.195;0;40.297;0;33.505;0;180.4;26:00.473;15:25:39.747;0:34.195;0:40.297;0:33.505;289.0;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;14;1:47.980;0;;34.385;0;40.348;0;33.247;0;180.4;27:48.453;15:27:27.727;0:34.385;0:40.348;0:33.247;278.6;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;15;1:47.499;0;;34.395;0;39.481;0;33.623;0;181.2;29:35.952;15:29:15.226;0:34.395;0:39.481;0:33.623;279.3;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;16;1:48.197;0;;34.338;0;40.220;0;33.639;0;180.1;31:24.149;15:31:03.423;0:34.338;0:40.220;0:33.639;281.5;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;17;1:47.519;0;;34.588;0;39.578;0;33.353;0;181.2;33:11.668;15:32:50.942;0:34.588;0:39.578;0:33.353;280.0;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;18;1:47.307;0;;34.363;0;39.690;0;33.254;0;181.6;34:58.975;15:34:38.249;0:34.363;0:39.690;0:33.254;280.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;19;1:47.728;0;;34.777;0;39.723;0;33.228;0;180.9;36:46.703;15:36:25.977;0:34.777;0:39.723;0:33.228;276.4;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;20;1:47.792;0;;34.367;0;39.652;0;33.773;0;180.7;38:34.495;15:38:13.769;0:34.367;0:39.652;0:33.773;275.0;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;21;1:48.203;0;;34.945;0;39.832;0;33.426;0;180.1;40:22.698;15:40:01.972;0:34.945;0:39.832;0:33.426;253.8;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;22;1:52.821;0;B;35.254;0;40.248;0;37.319;0;172.7;42:15.519;15:41:54.793;0:35.254;0:40.248;0:37.319;275.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;23;2:45.163;0;;1:31.633;0;39.833;0;33.697;0;118.0;45:00.682;15:44:39.956;1:31.633;0:39.833;0:33.697;186.5;Bruno SENNA;0:01:01.229;LMP1;;Rebellion Racing;Rebellion;
1;1;24;1:47.910;0;;34.560;0;39.968;0;33.382;0;180.6;46:48.592;15:46:27.866;0:34.560;0:39.968;0:33.382;286.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;25;1:49.024;0;;35.437;0;40.101;0;33.486;0;178.7;48:37.616;15:48:16.890;0:35.437;0:40.101;0:33.486;263.0;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;26;1:49.302;0;;34.390;0;40.427;0;34.485;0;178.3;50:26.918;15:50:06.192;0:34.390;0:40.427;0:34.485;282.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;27;1:50.154;0;;35.929;0;40.486;0;33.739;0;176.9;52:17.072;15:51:56.346;0:35.929;0:40.486;0:33.739;285.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;28;1:48.267;0;;34.781;0;39.933;0;33.553;0;180.0;54:05.339;15:53:44.613;0:34.781;0:39.933;0:33.553;274.3;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;29;1:48.482;0;;34.632;0;40.378;0;33.472;0;179.6;55:53.821;15:55:33.095;0:34.632;0:40.378;0:33.472;284.4;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;30;1:47.745;0;;34.492;0;39.711;0;33.542;0;180.8;57:41.566;15:57:20.840;0:34.492;0:39.711;0:33.542;283.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;31;1:48.395;0;;34.821;0;39.920;0;33.654;0;179.7;59:29.961;15:59:09.235;0:34.821;0:39.920;0:33.654;287.4;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;32;1:49.890;0;;34.650;0;40.751;0;34.489;0;177.3;1:01:19.851;16:00:59.125;0:34.650;0:40.751;0:34.489;289.0;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;33;1:49.768;0;;34.888;0;40.695;0;34.185;0;177.5;1:03:09.619;16:02:48.893;0:34.888;0:40.695;0:34.185;288.2;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;34;1:49.351;0;;34.712;0;40.663;0;33.976;0;178.2;1:04:58.970;16:04:38.244;0:34.712;0:40.663;0:33.976;284.4;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;35;1:50.276;0;;34.872;0;40.960;0;34.444;0;176.7;1:06:49.246;16:06:28.520;0:34.872;0:40.960;0:34.444;276.4;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;36;1:49.537;0;;35.022;0;40.577;0;33.938;0;177.9;1:08:38.783;16:08:18.057;0:35.022;0:40.577;0:33.938;268.2;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;37;1:51.755;0;;35.933;0;41.665;0;34.157;0;174.3;1:10:30.538;16:10:09.812;0:35.933;0:41.665;0:34.157;246.3;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;38;1:48.340;0;;34.789;0;40.064;0;33.487;0;179.8;1:12:18.878;16:11:58.152;0:34.789;0:40.064;0:33.487;289.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;39;1:48.794;0;;34.982;0;40.305;0;33.507;0;179.1;1:14:07.672;16:13:46.946;0:34.982;0:40.305;0:33.507;288.2;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
