NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
51;1;1;4:03.741;0;;2:16.818;0;54.096;0;52.827;0;77.0;4:03.741;17:44:03.741;2:16.818;0:54.096;0:52.827;232.3;James CALADO;0:01:52.102;LMGTE Pro;;AF Corse;Ferrari;
51;1;2;2:01.108;0;;26.266;0;46.571;0;48.271;0;163.9;6:04.849;17:46:04.849;0:26.266;0:46.571;0:48.271;260.9;James CALADO;;LMGTE Pro;;AF Corse;Ferrari;
51;1;3;2:00.790;2;;26.038;1;46.555;2;48.197;2;164.3;8:05.639;17:48:05.639;0:26.038;0:46.555;0:48.197;261.5;James CALADO;;LMGTE Pro;;AF Corse;Ferrari;
51;1;4;2:08.751;0;B;27.239;0;48.242;0;53.270;0;154.1;10:14.390;17:50:14.390;0:27.239;0:48.242;0:53.270;243.8;James CALADO;;LMGTE Pro;;AF Corse;Ferrari;
51;2;5;3:06.952;0;;1:27.619;0;49.014;0;50.319;0;106.2;13:21.342;17:53:21.342;1:27.619;0:49.014;0:50.319;260.9;Alessandro PIER GUIDI;0:01:05.461;LMGTE Pro;;AF Corse;Ferrari;
51;2;6;2:01.600;0;;25.924;0;46.919;0;48.757;0;163.2;15:22.942;17:55:22.942;0:25.924;0:46.919;0:48.757;260.9;Alessandro PIER GUIDI;;LMGTE Pro;;AF Corse;Ferrari;
51;2;7;2:10.552;0;;26.779;0;51.312;0;52.461;0;152.0;17:33.494;17:57:33.494;0:26.779;0:51.312;0:52.461;248.3;Alessandro PIER GUIDI;;LMGTE Pro;;AF Corse;Ferrari;
51;2;8;2:01.273;0;;25.813;3;46.919;0;48.541;1;163.7;19:34.767;17:59:34.767;0:25.813;0:46.919;0:48.541;261.5;Alessandro PIER GUIDI;;LMGTE Pro;;AF Corse;Ferrari;
51;2;9;2:01.371;0;;25.990;0;46.832;1;48.549;0;163.5;21:36.138;18:01:36.138;0:25.990;0:46.832;0:48.549;262.8;Alessandro PIER GUIDI;;LMGTE Pro;;AF Corse;Ferrari;
54;3;1;3:18.832;0;;1:39.218;0;48.968;0;50.646;0;94.4;3:18.832;17:43:18.832;1:39.218;0:48.968;0:50.646;255.9;Giancarlo FISICHELLA;0:01:15.202;LMGTE Am;;AF Corse;Ferrari;
54;3;2;2:02.007;2;;26.303;0;47.175;0;48.529;2;162.7;5:20.839;17:45:20.839;0:26.303;0:47.175;0:48.529;259.6;Giancarlo FISICHELLA;;LMGTE Am;;AF Corse;Ferrari;
54;3;3;2:02.138;0;;26.221;2;47.264;0;48.653;0;162.5;7:22.977;17:47:22.977;0:26.221;0:47.264;0:48.653;260.2;Giancarlo FISICHELLA;;LMGTE Am;;AF Corse;Ferrari;
54;3;4;2:05.444;0;;26.257;0;47.523;0;51.664;0;158.2;9:28.421;17:49:28.421;0:26.257;0:47.523;0:51.664;260.2;Giancarlo FISICHELLA;;LMGTE Am;;AF Corse;Ferrari;
54;3;5;2:03.725;0;B;26.236;0;47.103;2;50.386;0;160.4;11:32.146;17:51:32.146;0:26.236;0:47.103;0:50.386;259.6;Giancarlo FISICHELLA;;LMGTE Am;;AF Corse;Ferrari;
54;1;6;3:46.719;0;;1:54.025;0;52.829;0;59.865;0;87.5;15:18.865;17:55:18.865;1:54.025;0:52.829;0:59.865;256.5;Thomas FLOHR;0:01:28.061;LMGTE Am;;AF Corse;Ferrari;
54;1;7;2:04.918;0;;26.963;0;47.994;0;49.961;1;158.9;17:23.783;17:57:23.783;0:26.963;0:47.994;0:49.961;258.4;Thomas FLOHR;;LMGTE Am;;AF Corse;Ferrari;
54;1;8;2:05.317;0;;26.812;0;47.976;1;50.529;0;158.4;19:29.100;17:59:29.100;0:26.812;0:47.976;0:50.529;258.4;Thomas FLOHR;;LMGTE Am;;AF Corse;Ferrari;
54;1;9;2:17.281;0;B;26.746;1;49.718;0;1:00.817;0;144.6;21:46.381;18:01:46.381;0:26.746;0:49.718;1:00.817;259.0;Thomas FLOHR;;LMGTE Am;;AF Corse;Ferrari;
56;3;1;3:05.328;0;;1:01.975;0;1:02.799;0;1:00.554;0;101.3;3:05.328;17:43:05.328;1:01.975;1:02.799;1:00.554;145.9;Matteo CAIROLI;0:00:34.890;LMGTE Am;;Team Project 1;Porsche;
