NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;3;1;1:57.215;0;;45.679;0;29.840;0;41.696;0;130.7;1:57.215;15:31:57.215;0:45.679;0:29.840;0:41.696;153.0;Norman NATO;0:00:24.195;LMP1;;Rebellion Racing;Rebellion;
1;3;2;1:30.595;0;;22.293;0;28.808;0;39.494;0;181.3;3:27.810;15:33:27.810;0:22.293;0:28.808;0:39.494;302.5;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;3;1:28.151;0;;22.004;0;26.752;0;39.395;0;186.3;4:55.961;15:34:55.961;0:22.004;0:26.752;0:39.395;299.2;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;4;1:27.417;0;;21.661;2;26.879;0;38.877;0;187.9;6:23.378;15:36:23.378;0:21.661;0:26.879;0:38.877;310.3;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;5;1:28.830;0;;21.676;0;27.498;0;39.656;0;184.9;7:52.208;15:37:52.208;0:21.676;0:27.498;0:39.656;305.1;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;6;1:27.797;0;;21.767;0;26.998;0;39.032;0;187.1;9:20.005;15:39:20.005;0:21.767;0:26.998;0:39.032;302.5;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;7;1:28.416;0;;21.722;0;27.011;0;39.683;0;185.8;10:48.421;15:40:48.421;0:21.722;0:27.011;0:39.683;305.1;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;8;1:27.160;0;;21.774;0;26.748;0;38.638;2;188.5;12:15.581;15:42:15.581;0:21.774;0:26.748;0:38.638;313.0;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;9;1:28.492;0;;21.682;0;27.594;0;39.216;0;185.6;13:44.073;15:43:44.073;0:21.682;0:27.594;0:39.216;300.8;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;10;1:27.737;0;;21.777;0;27.141;0;38.819;0;187.2;15:11.810;15:45:11.810;0:21.777;0:27.141;0:38.819;307.7;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;11;1:27.042;2;;21.706;0;26.452;3;38.884;0;188.7;16:38.852;15:46:38.852;0:21.706;0:26.452;0:38.884;309.5;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;12;1:32.908;0;B;21.698;0;26.641;0;44.569;0;176.8;18:11.760;15:48:11.760;0:21.698;0:26.641;0:44.569;311.2;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;13;3:56.190;0;;2:49.510;0;27.398;0;39.282;0;69.5;22:07.950;15:52:07.950;2:49.510;0:27.398;0:39.282;164.6;Norman NATO;0:02:31.589;LMP1;;Rebellion Racing;Rebellion;
1;3;14;1:30.004;0;;22.107;0;28.537;0;39.360;0;182.5;23:37.954;15:53:37.954;0:22.107;0:28.537;0:39.360;305.1;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;15;1:28.754;0;;22.254;0;27.065;0;39.435;0;185.1;25:06.708;15:55:06.708;0:22.254;0:27.065;0:39.435;303.4;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;16;1:29.677;0;;21.984;0;28.346;0;39.347;0;183.2;26:36.385;15:56:36.385;0:21.984;0:28.346;0:39.347;309.5;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;17;1:28.462;0;;22.015;0;27.319;0;39.128;0;185.7;28:04.847;15:58:04.847;0:22.015;0:27.319;0:39.128;302.5;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;18;1:29.009;0;;21.957;0;27.285;0;39.767;0;184.6;29:33.856;15:59:33.856;0:21.957;0:27.285;0:39.767;308.6;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;19;1:28.285;0;;21.881;0;27.347;0;39.057;0;186.1;31:02.141;16:01:02.141;0:21.881;0:27.347;0:39.057;306.8;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;20;1:27.314;0;;21.719;0;26.757;0;38.838;0;188.1;32:29.455;16:02:29.455;0:21.719;0:26.757;0:38.838;308.6;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;21;1:34.475;0;B;21.727;0;27.354;0;45.394;0;173.9;34:03.930;16:04:03.930;0:21.727;0:27.354;0:45.394;312.1;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;2;22;7:45.308;0;;6:36.157;0;28.466;0;40.685;0;35.3;41:49.238;16:11:49.238;6:36.157;0:28.466;0:40.685;165.6;Gustavo MENEZES;0:06:18.459;LMP1;;Rebellion Racing;Rebellion;
1;2;23;1:30.526;0;;21.989;0;27.950;0;40.587;0;181.5;43:19.764;16:13:19.764;0:21.989;0:27.950;0:40.587;304.2;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;2;24;1:29.509;0;;22.141;0;27.100;0;40.268;0;183.5;44:49.273;16:14:49.273;0:22.141;0:27.100;0:40.268;303.4;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;2;25;1:29.070;0;;22.048;0;27.534;0;39.488;0;184.4;46:18.343;16:16:18.343;0:22.048;0:27.534;0:39.488;303.4;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;2;26;1:28.006;0;;22.028;0;26.921;0;39.057;0;186.7;47:46.349;16:17:46.349;0:22.028;0:26.921;0:39.057;306.8;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;2;27;1:28.075;0;;21.872;0;27.098;0;39.105;0;186.5;49:14.424;16:19:14.424;0:21.872;0:27.098;0:39.105;305.9;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
