NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;1;1;4:09.292;0;;50.931;0;1:29.290;0;1:49.071;0;194.7;4:09.292;10:34:09.292;0:50.931;1:29.290;1:49.071;295.6;Bruno SENNA;0:00:08.403;LMP1;;Rebellion Racing;Rebellion;
1;1;2;3:58.962;0;B;37.561;2;1:26.347;0;1:55.054;0;205.3;8:08.254;10:38:08.254;0:37.561;1:26.347;1:55.054;319.1;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;3;5:30.585;0;;2:18.984;0;1:25.805;0;1:45.796;2;148.4;13:38.839;10:43:38.839;2:18.984;1:25.805;1:45.796;329.8;Bruno SENNA;0:01:50.302;LMP1;;Rebellion Racing;Rebellion;
1;1;4;3:50.506;0;B;37.666;0;1:23.626;2;1:49.214;0;212.8;17:29.345;10:47:29.345;0:37.666;1:23.626;1:49.214;331.8;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
11;2;1;5:39.942;0;;1:41.360;0;1:47.070;0;2:11.512;0;142.8;5:39.942;10:35:39.942;1:41.360;1:47.070;2:11.512;184.9;Erik MARIS;0:00:53.268;LMP2;;Eurointernational;Ligier;
11;2;2;4:35.903;0;B;44.171;2;1:37.628;2;2:14.104;0;177.8;10:15.845;10:40:15.845;0:44.171;1:37.628;2:14.104;221.2;Erik MARIS;;LMP2;;Eurointernational;Ligier;
11;2;3;6:33.360;0;;2:53.414;0;1:38.590;0;2:01.356;2;124.7;16:49.205;10:46:49.205;2:53.414;1:38.590;2:01.356;191.5;Erik MARIS;0:02:20.808;LMP2;;Eurointernational;Ligier;
16;2;1;4:28.982;0;;53.819;0;1:39.622;0;1:55.541;0;180.4;4:28.982;10:34:28.982;0:53.819;1:39.622;1:55.541;230.7;Oliver JARVIS;0:00:06.995;LMP2;;G-Drive Racing by Algarve;Aurus;
16;2;2;4:02.602;0;;40.321;0;1:30.791;0;1:51.490;0;202.2;8:31.584;10:38:31.584;0:40.321;1:30.791;1:51.490;278.1;Oliver JARVIS;;LMP2;;G-Drive Racing by Algarve;Aurus;
16;2;3;3:52.302;2;;37.582;2;1:27.956;2;1:46.764;2;211.2;12:23.886;10:42:23.886;0:37.582;1:27.956;1:46.764;315.4;Oliver JARVIS;;LMP2;;G-Drive Racing by Algarve;Aurus;
16;2;4;4:17.716;0;B;41.615;0;1:35.009;0;2:01.092;0;190.3;16:41.602;10:46:41.602;0:41.615;1:35.009;2:01.092;228.2;Oliver JARVIS;;LMP2;;G-Drive Racing by Algarve;Aurus;
17;1;1;6:19.156;0;;2:45.641;0;1:33.961;0;1:59.554;0;128.0;6:19.156;10:36:19.156;2:45.641;1:33.961;1:59.554;201.8;Patrick PILET;0:02:05.650;LMP2;;IDEC Sport;Oreca;
