NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;2;1;7:00.234;0;B;3:29.047;0;1:41.110;0;1:50.077;0;115.5;7:00.234;10:07:00.234;3:29.047;1:41.110;1:50.077;208.8;Norman NATO;0:02:47.192;LMP1;;Rebellion Racing;Rebellion;
1;2;2;9:20.775;0;;6:18.732;0;1:24.372;0;1:37.671;1;87.5;16:21.009;10:16:21.009;6:18.732;1:24.372;1:37.671;327.8;Norman NATO;0:05:54.620;LMP1;;Rebellion Racing;Rebellion;
1;2;3;4:27.548;0;;31.987;1;2:08.335;0;1:47.226;0;183.3;20:48.557;10:20:48.557;0:31.987;2:08.335;1:47.226;337.0;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;2;4;3:34.239;0;B;32.316;0;1:18.170;1;1:43.753;0;229.0;24:22.796;10:24:22.796;0:32.316;1:18.170;1:43.753;336.0;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;1;5;6:23.762;0;;2:19.406;0;2:25.733;0;1:38.623;0;127.8;30:46.558;10:30:46.558;2:19.406;2:25.733;1:38.623;133.6;Bruno SENNA;0:01:20.308;LMP1;;Rebellion Racing;Rebellion;
1;1;6;3:24.106;0;;32.481;0;1:18.290;0;1:33.335;1;240.3;34:10.664;10:34:10.664;0:32.481;1:18.290;1:33.335;336.0;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;7;3:31.453;0;B;32.001;1;1:17.825;1;1:41.627;0;232.0;37:42.117;10:37:42.117;0:32.001;1:17.825;1:41.627;339.1;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;3;8;4:32.854;0;;1:42.252;0;1:18.321;0;1:32.281;2;179.8;42:14.971;10:42:14.971;1:42.252;1:18.321;1:32.281;338.1;Gustavo MENEZES;0:01:19.875;LMP1;;Rebellion Racing;Rebellion;
1;3;9;3:21.132;3;;31.429;0;1:17.330;2;1:32.373;0;243.9;45:36.103;10:45:36.103;0:31.429;1:17.330;1:32.373;340.2;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;3;10;3:36.633;0;B;31.367;2;1:20.597;0;1:44.669;0;226.4;49:12.736;10:49:12.736;0:31.367;1:20.597;1:44.669;337.0;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
11;1;1;12:35.052;0;;8:48.450;0;2:01.548;0;1:45.054;0;64.3;12:35.052;10:12:35.052;8:48.450;2:01.548;1:45.054;252.2;Adrien TAMBAY;0:08:13.358;LMP2;;Eurointernational;Ligier;
11;1;2;3:34.956;2;;34.094;2;1:22.035;2;1:38.827;2;228.2;16:10.008;10:16:10.008;0:34.094;1:22.035;1:38.827;327.8;Adrien TAMBAY;;LMP2;;Eurointernational;Ligier;
11;1;3;4:45.051;0;B;34.189;0;2:09.669;0;2:01.193;0;172.1;20:55.059;10:20:55.059;0:34.189;2:09.669;2:01.193;331.8;Adrien TAMBAY;;LMP2;;Eurointernational;Ligier;
11;3;4;8:50.519;0;B;3:01.398;0;2:31.337;1;3:17.784;0;92.5;29:45.578;10:29:45.578;3:01.398;2:31.337;3:17.784;203.7;Christophe D'ANSEMBOURG;0:02:27.579;LMP2;;Eurointernational;Ligier;
16;1;1;3:45.158;0;;41.779;0;1:24.088;0;1:39.291;0;215.5;3:45.158;10:03:45.158;0:41.779;1:24.088;1:39.291;322.0;Ryan CULLEN;0:00:08.264;LMP2;;G-Drive Racing by Algarve;Aurus;
16;1;2;3:58.973;0;;33.976;0;1:47.031;0;1:37.966;0;205.3;7:44.131;10:07:44.131;0:33.976;1:47.031;1:37.966;317.2;Ryan CULLEN;;LMP2;;G-Drive Racing by Algarve;Aurus;
16;1;3;4:29.563;0;;33.277;0;2:18.731;0;1:37.555;1;182.0;12:13.694;10:12:13.694;0:33.277;2:18.731;1:37.555;172.3;Ryan CULLEN;;LMP2;;G-Drive Racing by Algarve;Aurus;
16;1;4;3:33.017;0;;33.187;1;1:21.133;1;1:38.697;0;230.3;15:46.711;10:15:46.711;0:33.187;1:21.133;1:38.697;324.9;Ryan CULLEN;;LMP2;;G-Drive Racing by Algarve;Aurus;
16;1;5;4:28.455;0;;33.707;0;2:08.822;0;1:45.926;0;182.7;20:15.166;10:20:15.166;0:33.707;2:08.822;1:45.926;324.9;Ryan CULLEN;;LMP2;;G-Drive Racing by Algarve;Aurus;
16;1;6;3:35.522;0;;34.499;0;1:22.488;0;1:38.535;0;227.6;23:50.688;10:23:50.688;0:34.499;1:22.488;1:38.535;328.8;Ryan CULLEN;;LMP2;;G-Drive Racing by Algarve;Aurus;
16;1;7;6:03.710;0;B;34.185;0;3:02.959;0;2:26.566;0;134.9;29:54.398;10:29:54.398;0:34.185;3:02.959;2:26.566;323.9;Ryan CULLEN;;LMP2;;G-Drive Racing by Algarve;Aurus;
16;3;8;6:45.722;0;;3:39.883;0;1:24.893;0;1:40.946;0;120.9;36:40.120;10:36:40.120;3:39.883;1:24.893;1:40.946;281.0;Nicholas TANDY;0:03:14.893;LMP2;;G-Drive Racing by Algarve;Aurus;
16;3;9;3:32.471;0;;32.843;0;1:21.329;0;1:38.299;0;230.9;40:12.591;10:40:12.591;0:32.843;1:21.329;1:38.299;325.8;Nicholas TANDY;;LMP2;;G-Drive Racing by Algarve;Aurus;
16;3;10;3:31.060;2;;33.152;0;1:21.482;0;1:36.426;2;232.4;43:43.651;10:43:43.651;0:33.152;1:21.482;1:36.426;298.8;Nicholas TANDY;;LMP2;;G-Drive Racing by Algarve;Aurus;
16;3;11;3:39.370;0;B;32.681;2;1:20.799;2;1:45.890;0;223.6;47:23.021;10:47:23.021;0:32.681;1:20.799;1:45.890;325.8;Nicholas TANDY;;LMP2;;G-Drive Racing by Algarve;Aurus;
