NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;1;1;2:05.986;0;;54.880;0;41.747;0;29.359;0;164.6;2:05.986;12:29:05.986;0:54.880;0:41.747;0:29.359;282.7;Bruno SENNA;0:00:21.202;LMP1;;Rebellion Racing;Rebellion;
1;1;2;1:41.127;0;;30.283;0;42.472;0;28.372;0;210.1;3:47.113;12:30:47.113;0:30.283;0:42.472;0:28.372;272.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;3;1:36.599;0;;29.665;2;40.057;1;26.877;1;219.9;5:23.712;12:32:23.712;0:29.665;0:40.057;0:26.877;283.5;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;4;1:42.709;0;B;29.683;0;40.857;0;32.169;0;206.8;7:06.421;12:34:06.421;0:29.683;0:40.857;0:32.169;282.0;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;2;5;2:57.620;0;;1:47.338;0;41.771;0;28.511;0;119.6;10:04.041;12:37:04.041;1:47.338;0:41.771;0:28.511;264.7;Gustavo MENEZES;0:01:26.810;LMP1;;Rebellion Racing;Rebellion;
1;2;6;1:36.542;0;;29.892;1;39.825;0;26.825;0;220.0;11:40.583;12:38:40.583;0:29.892;0:39.825;0:26.825;284.2;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;2;7;1:36.521;2;;30.161;0;39.584;3;26.776;2;220.1;13:17.104;12:40:17.104;0:30.161;0:39.584;0:26.776;286.5;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;2;8;1:45.632;0;B;32.182;0;42.778;0;30.672;0;201.1;15:02.736;12:42:02.736;0:32.182;0:42.778;0:30.672;283.5;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
22;3;1;2:13.307;0;;51.382;0;49.572;0;32.353;0;155.5;2:13.307;12:29:13.307;0:51.382;0:49.572;0:32.353;266.7;Paul DI RESTA;0:00:15.131;LMP2;;United Autosports;Oreca;
22;3;2;1:41.211;2;;31.054;2;42.155;2;28.002;2;209.9;3:54.518;12:30:54.518;0:31.054;0:42.155;0:28.002;274.8;Paul DI RESTA;;LMP2;;United Autosports;Oreca;
22;3;3;1:46.111;0;B;31.290;0;42.308;0;32.513;0;200.2;5:40.629;12:32:40.629;0:31.290;0:42.308;0:32.513;274.1;Paul DI RESTA;;LMP2;;United Autosports;Oreca;
22;1;4;3:03.082;0;;1:48.283;0;45.714;0;29.085;0;116.0;8:43.711;12:35:43.711;1:48.283;0:45.714;0:29.085;272.7;Philip HANSON;0:01:25.583;LMP2;;United Autosports;Oreca;
