NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
10;1;1;2:12.870;0;;44.107;0;54.231;0;34.532;0;156.1;2:12.870;13:08:56.775;0:44.107;0:54.231;0:34.532;246.6;Sam BRABHAM;;ProAm;;Team Connect it;;
10;1;2;2:06.083;2;;38.060;2;53.502;2;34.521;0;168.5;4:18.953;13:11:02.858;0:38.060;0:53.502;0:34.521;246.0;Sam BRABHAM;;ProAm;;Team Connect it;;
10;1;3;2:06.197;0;;38.199;0;53.527;0;34.471;0;168.3;6:25.150;13:13:09.055;0:38.199;0:53.527;0:34.471;246.0;Sam BRABHAM;;ProAm;;Team Connect it;;
10;1;4;2:07.406;0;;38.298;0;53.995;0;35.113;0;166.7;8:32.556;13:15:16.461;0:38.298;0:53.995;0:35.113;246.0;Sam BRABHAM;;ProAm;;Team Connect it;;
10;1;5;2:07.380;0;;38.326;0;54.397;0;34.657;0;166.8;10:39.936;13:17:23.841;0:38.326;0:54.397;0:34.657;247.1;Sam BRABHAM;;ProAm;;Team Connect it;;
10;1;6;2:06.907;0;;38.619;0;53.832;0;34.456;0;167.4;12:46.843;13:19:30.748;0:38.619;0:53.832;0:34.456;244.9;Sam BRABHAM;;ProAm;;Team Connect it;;
10;1;7;2:06.983;0;;38.367;0;53.757;0;34.859;0;167.3;14:53.826;13:21:37.731;0:38.367;0:53.757;0:34.859;244.9;Sam BRABHAM;;ProAm;;Team Connect it;;
10;1;8;2:07.844;0;;39.209;0;54.154;0;34.481;0;166.2;17:01.670;13:23:45.575;0:39.209;0:54.154;0:34.481;247.1;Sam BRABHAM;;ProAm;;Team Connect it;;
10;1;9;2:07.384;0;;38.504;0;54.121;0;34.759;0;166.8;19:09.054;13:25:52.959;0:38.504;0:54.121;0:34.759;244.9;Sam BRABHAM;;ProAm;;Team Connect it;;
10;1;10;2:07.375;0;;38.512;0;54.103;0;34.760;0;166.8;21:16.429;13:28:00.334;0:38.512;0:54.103;0:34.760;244.9;Sam BRABHAM;;ProAm;;Team Connect it;;
10;1;11;2:06.805;0;;38.353;0;53.876;0;34.576;0;167.5;23:23.234;13:30:07.139;0:38.353;0:53.876;0:34.576;244.9;Sam BRABHAM;;ProAm;;Team Connect it;;
10;1;12;2:06.540;0;;38.256;0;53.918;0;34.366;2;167.9;25:29.774;13:32:13.679;0:38.256;0:53.918;0:34.366;244.9;Sam BRABHAM;;ProAm;;Team Connect it;;
10;1;13;2:07.267;0;;38.453;0;54.080;0;34.734;0;166.9;27:37.041;13:34:20.946;0:38.453;0:54.080;0:34.734;244.9;Sam BRABHAM;;ProAm;;Team Connect it;;
10;1;14;2:07.460;0;;38.257;0;54.520;0;34.683;0;166.7;29:44.501;13:36:28.406;0:38.257;0:54.520;0:34.683;243.8;Sam BRABHAM;;ProAm;;Team Connect it;;
