NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;1;1;1:45.515;0;;33.974;0;43.258;0;28.283;0;196.5;1:45.515;12:02:03.183;0:33.974;0:43.258;0:28.283;284.2;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;2;1:40.439;0;;31.079;0;41.811;0;27.549;0;211.5;3:25.954;12:03:43.622;0:31.079;0:41.811;0:27.549;285.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;3;1:41.788;0;;30.593;0;41.278;0;29.917;0;208.7;5:07.742;12:05:25.410;0:30.593;0:41.278;0:29.917;286.5;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;4;3:39.877;0;;53.934;0;1:39.235;0;1:06.708;0;96.6;8:47.619;12:09:05.287;0:53.934;1:39.235;1:06.708;75.8;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;5;2:40.991;0;;1:02.568;0;59.593;0;38.830;0;132.0;11:28.610;12:11:46.278;1:02.568;0:59.593;0:38.830;166.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;6;2:25.921;0;;46.546;0;1:01.782;0;37.593;0;145.6;13:54.531;12:14:12.199;0:46.546;1:01.782;0:37.593;129.2;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;7;1:40.217;0;;31.154;0;41.596;0;27.467;0;212.0;15:34.748;12:15:52.416;0:31.154;0:41.596;0:27.467;285.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;8;1:38.864;0;;30.413;0;41.177;0;27.274;0;214.9;17:13.612;12:17:31.280;0:30.413;0:41.177;0:27.274;286.5;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;9;1:38.490;2;;30.406;2;40.995;1;27.089;2;215.7;18:52.102;12:19:09.770;0:30.406;0:40.995;0:27.089;286.5;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;10;1:38.646;0;;30.455;0;40.996;0;27.195;0;215.4;20:30.748;12:20:48.416;0:30.455;0:40.996;0:27.195;286.5;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;11;1:40.349;0;;30.423;0;41.893;0;28.033;0;211.7;22:11.097;12:22:28.765;0:30.423;0:41.893;0:28.033;291.1;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;12;1:40.939;0;;31.099;0;42.304;0;27.536;0;210.5;23:52.036;12:24:09.704;0:31.099;0:42.304;0:27.536;286.5;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;13;1:41.118;0;;30.947;0;42.589;0;27.582;0;210.1;25:33.154;12:25:50.822;0:30.947;0:42.589;0:27.582;286.5;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;14;1:41.584;0;;31.151;0;42.520;0;27.913;0;209.1;27:14.738;12:27:32.406;0:31.151;0:42.520;0:27.913;284.2;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;15;1:40.024;0;;30.773;0;41.716;0;27.535;0;212.4;28:54.762;12:29:12.430;0:30.773;0:41.716;0:27.535;288.0;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;16;1:59.414;0;B;31.114;0;41.645;0;46.655;0;177.9;30:54.176;12:31:11.844;0:31.114;0:41.645;0:46.655;259.0;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;17;4:38.348;0;;1:50.821;0;1:51.910;0;55.617;0;76.3;35:32.524;12:35:50.192;1:50.821;1:51.910;0:55.617;77.0;Bruno SENNA;0:00:58.176;LMP1;;Rebellion Racing;Rebellion;
1;1;18;1:44.421;0;;32.075;0;43.822;0;28.524;0;203.4;37:16.945;12:37:34.613;0:32.075;0:43.822;0:28.524;285.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;19;1:42.812;0;;32.069;0;42.901;0;27.842;0;206.6;38:59.757;12:39:17.425;0:32.069;0:42.901;0:27.842;285.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;20;1:40.687;0;;31.166;0;41.954;0;27.567;0;211.0;40:40.444;12:40:58.112;0:31.166;0:41.954;0:27.567;285.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;21;1:41.909;0;;30.701;0;42.843;0;28.365;0;208.5;42:22.353;12:42:40.021;0:30.701;0:42.843;0:28.365;285.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;22;1:40.356;0;;30.877;0;41.717;0;27.762;0;211.7;44:02.709;12:44:20.377;0:30.877;0:41.717;0:27.762;287.2;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
