NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;3;1;4:13.341;0;;2:33.976;0;1:01.114;0;38.251;0;97.8;4:13.341;09:34:13.341;2:33.976;1:01.114;0:38.251;241.3;Norman NATO;0:01:59.581;LMP1;;Rebellion Racing;Rebellion;
1;3;2;2:06.223;0;;35.166;0;58.366;0;32.691;0;199.8;6:19.564;09:36:19.564;0:35.166;0:58.366;0:32.691;298.5;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;3;2:00.987;0;;34.724;1;55.098;1;31.165;2;208.4;8:20.551;09:38:20.551;0:34.724;0:55.098;0:31.165;302.7;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;4;2:11.612;0;B;34.824;0;55.109;0;41.679;0;191.6;10:32.163;09:40:32.163;0:34.824;0:55.109;0:41.679;302.7;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;2;5;3:47.162;0;;2:18.865;0;56.938;0;31.359;0;111.0;14:19.325;09:44:19.325;2:18.865;0:56.938;0:31.359;301.0;Gustavo MENEZES;0:01:53.460;LMP1;;Rebellion Racing;Rebellion;
1;2;6;2:04.285;0;;34.646;0;58.216;0;31.423;0;202.9;16:23.610;09:46:23.610;0:34.646;0:58.216;0:31.423;301.8;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;2;7;2:00.878;3;;34.751;0;54.880;3;31.247;1;208.6;18:24.488;09:48:24.488;0:34.751;0:54.880;0:31.247;303.5;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;2;8;2:09.818;0;B;34.643;2;56.846;0;38.329;0;194.2;20:34.306;09:50:34.306;0:34.643;0:56.846;0:38.329;305.2;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;1;9;4:11.747;0;;2:41.243;0;58.436;0;32.068;0;100.2;24:46.053;09:54:46.053;2:41.243;0:58.436;0:32.068;289.7;Bruno SENNA;0:02:15.531;LMP1;;Rebellion Racing;Rebellion;
1;1;10;2:06.175;0;;36.694;0;57.951;0;31.530;0;199.8;26:52.228;09:56:52.228;0:36.694;0:57.951;0:31.530;293.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;11;2:04.615;0;;35.383;0;57.843;0;31.389;1;202.3;28:56.843;09:58:56.843;0:35.383;0:57.843;0:31.389;299.3;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;12;2:05.519;0;;35.216;0;57.499;0;32.804;0;200.9;31:02.362;10:01:02.362;0:35.216;0:57.499;0:32.804;300.2;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;13;2:03.545;0;;35.230;0;56.207;0;32.108;0;204.1;33:05.907;10:03:05.907;0:35.230;0:56.207;0:32.108;301.0;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;14;2:05.836;0;;34.951;0;59.261;0;31.624;0;200.4;35:11.743;10:05:11.743;0:34.951;0:59.261;0:31.624;299.3;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;15;2:04.381;0;;35.088;0;55.994;1;33.299;0;202.7;37:16.124;10:07:16.124;0:35.088;0:55.994;0:33.299;301.8;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;16;2:05.357;0;;35.139;0;57.782;0;32.436;0;201.1;39:21.481;10:09:21.481;0:35.139;0:57.782;0:32.436;299.3;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;17;2:04.628;0;;36.551;0;56.551;0;31.526;0;202.3;41:26.109;10:11:26.109;0:36.551;0:56.551;0:31.526;294.5;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;18;2:03.884;0;;34.821;1;57.312;0;31.751;0;203.5;43:29.993;10:13:29.993;0:34.821;0:57.312;0:31.751;296.9;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;1;19;3:07.275;0;B;34.974;0;1:01.768;0;1:30.533;0;134.6;46:37.268;10:16:37.268;0:34.974;1:01.768;1:30.533;301.0;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;2;20;8:16.146;0;;6:46.414;0;57.855;0;31.877;0;50.8;54:53.414;10:24:53.414;6:46.414;0:57.855;0:31.877;292.1;Gustavo MENEZES;0:06:20.084;LMP1;;Rebellion Racing;Rebellion;
1;2;21;2:03.338;0;;35.115;0;56.386;0;31.837;0;204.4;56:56.752;10:26:56.752;0:35.115;0:56.386;0:31.837;301.8;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;2;22;2:03.707;0;;34.953;0;56.595;0;32.159;0;203.8;59:00.459;10:29:00.459;0:34.953;0:56.595;0:32.159;302.7;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
