NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
007;1;1;3:01.619;0;;1:02.531;0;1:15.309;0;43.779;0;136.4;3:01.619;12:18:01.619;1:02.531;1:15.309;0:43.779;210.8; DAVIDSON / MUNDY;0:00:35.154;BC;;DTB Motorsport;;
007;1;2;2:25.954;0;;41.182;0;1:08.433;0;36.339;3;172.8;5:27.573;12:20:27.573;0:41.182;1:08.433;0:36.339;255.6; DAVIDSON / MUNDY;;BC;;DTB Motorsport;;
007;1;3;2:23.391;2;;40.481;2;1:06.539;2;36.371;0;175.8;7:50.964;12:22:50.964;0:40.481;1:06.539;0:36.371;256.8; DAVIDSON / MUNDY;;BC;;DTB Motorsport;;
007;1;4;2:23.554;0;;40.501;0;1:06.678;0;36.375;0;175.6;10:14.518;12:25:14.518;0:40.501;1:06.678;0:36.375;257.4; DAVIDSON / MUNDY;;BC;;DTB Motorsport;;
007;1;5;2:24.602;0;;40.973;0;1:06.898;0;36.731;0;174.4;12:39.120;12:27:39.120;0:40.973;1:06.898;0:36.731;255.6; DAVIDSON / MUNDY;;BC;;DTB Motorsport;;
007;1;6;4:26.755;0;B;2:28.471;0;1:17.753;0;40.531;0;94.5;17:05.875;12:32:05.875;2:28.471;1:17.753;0:40.531;189.4; DAVIDSON / MUNDY;0:01:31.251;BC;;DTB Motorsport;;
007;1;7;2:29.886;0;;42.966;0;1:08.909;0;38.011;0;168.2;19:35.761;12:34:35.761;0:42.966;1:08.909;0:38.011;252.6; DAVIDSON / MUNDY;;BC;;DTB Motorsport;;
007;1;8;2:28.075;0;;41.799;0;1:08.722;0;37.554;0;170.3;22:03.836;12:37:03.836;0:41.799;1:08.722;0:37.554;253.8; DAVIDSON / MUNDY;;BC;;DTB Motorsport;;
007;1;9;2:27.147;0;;41.736;0;1:08.054;0;37.357;0;171.4;24:30.983;12:39:30.983;0:41.736;1:08.054;0:37.357;254.4; DAVIDSON / MUNDY;;BC;;DTB Motorsport;;
007;1;10;2:31.125;0;;41.619;0;1:11.544;0;37.962;0;166.8;27:02.108;12:42:02.108;0:41.619;1:11.544;0:37.962;218.9; DAVIDSON / MUNDY;;BC;;DTB Motorsport;;
007;1;11;2:27.324;0;;41.812;0;1:08.132;0;37.380;0;171.1;29:29.432;12:44:29.432;0:41.812;1:08.132;0:37.380;252.6; DAVIDSON / MUNDY;;BC;;DTB Motorsport;;
007;1;12;2:58.130;0;;41.503;0;1:24.845;0;51.782;0;141.5;32:27.562;12:47:27.562;0:41.503;1:24.845;0:51.782;254.4; DAVIDSON / MUNDY;;BC;;DTB Motorsport;;
36;1;1;2:50.509;0;;45.401;0;1:21.043;0;44.065;0;145.3;2:50.509;12:17:50.509;0:45.401;1:21.043;0:44.065;176.5;Oliver SMITH;0:00:11.694;BC;;JC Racing;;
36;1;2;2:52.064;0;;49.725;0;1:17.598;0;44.741;0;146.5;5:42.573;12:20:42.573;0:49.725;1:17.598;0:44.741;210.8;Oliver SMITH;;BC;;JC Racing;;
36;1;3;2:50.410;0;;49.763;0;1:17.168;0;43.479;0;148.0;8:32.983;12:23:32.983;0:49.763;1:17.168;0:43.479;212.1;Oliver SMITH;;BC;;JC Racing;;
36;1;4;2:50.225;0;;49.445;0;1:17.261;0;43.519;0;148.1;11:23.208;12:26:23.208;0:49.445;1:17.261;0:43.519;209.6;Oliver SMITH;;BC;;JC Racing;;
36;1;5;2:49.856;0;;49.453;0;1:17.080;0;43.323;0;148.4;14:13.064;12:29:13.064;0:49.453;1:17.080;0:43.323;211.2;Oliver SMITH;;BC;;JC Racing;;
36;1;6;2:51.182;0;;49.535;0;1:17.182;0;44.465;0;147.3;17:04.246;12:32:04.246;0:49.535;1:17.182;0:44.465;213.3;Oliver SMITH;;BC;;JC Racing;;
36;1;7;2:50.022;0;;49.752;0;1:17.030;0;43.240;0;148.3;19:54.268;12:34:54.268;0:49.752;1:17.030;0:43.240;213.3;Oliver SMITH;;BC;;JC Racing;;
36;1;8;2:49.042;2;;49.386;2;1:16.628;2;43.028;0;149.2;22:43.310;12:37:43.310;0:49.386;1:16.628;0:43.028;214.6;Oliver SMITH;;BC;;JC Racing;;
36;1;9;2:49.348;0;;49.451;0;1:16.932;0;42.965;2;148.9;25:32.658;12:40:32.658;0:49.451;1:16.932;0:42.965;215.4;Oliver SMITH;;BC;;JC Racing;;
36;1;10;2:52.262;0;;49.649;0;1:16.817;0;45.796;0;146.4;28:24.920;12:43:24.920;0:49.649;1:16.817;0:45.796;212.1;Oliver SMITH;;BC;;JC Racing;;
36;1;11;3:27.540;0;;58.718;0;1:31.787;0;57.035;0;121.5;31:52.460;12:46:52.460;0:58.718;1:31.787;0:57.035;157.7;Oliver SMITH;;BC;;JC Racing;;
6;1;1;2:54.445;0;;55.323;0;1:17.600;0;41.522;0;142.0;2:54.445;12:17:54.445;0:55.323;1:17.600;0:41.522;187.2;Stephen TOMKINS;0:00:18.644;BC;;Venture Engineering;;
6;1;2;2:28.586;0;;42.014;0;1:09.402;0;37.170;0;169.7;5:23.031;12:20:23.031;0:42.014;1:09.402;0:37.170;218.9;Stephen TOMKINS;;BC;;Venture Engineering;;
6;1;3;2:30.042;0;;41.017;0;1:08.665;0;40.360;0;168.0;7:53.073;12:22:53.073;0:41.017;1:08.665;0:40.360;225.3;Stephen TOMKINS;;BC;;Venture Engineering;;
6;1;4;2:26.404;0;;40.772;0;1:08.420;0;37.212;0;172.2;10:19.477;12:25:19.477;0:40.772;1:08.420;0:37.212;259.9;Stephen TOMKINS;;BC;;Venture Engineering;;
6;1;5;2:25.542;2;;40.616;0;1:08.227;2;36.699;0;173.2;12:45.019;12:27:45.019;0:40.616;1:08.227;0:36.699;236.1;Stephen TOMKINS;;BC;;Venture Engineering;;
6;1;6;2:31.657;0;;40.802;0;1:11.742;0;39.113;0;166.3;15:16.676;12:30:16.676;0:40.802;1:11.742;0:39.113;245.7;Stephen TOMKINS;;BC;;Venture Engineering;;
6;1;7;4:31.404;0;B;2:36.239;0;1:12.970;0;42.195;0;92.9;19:48.080;12:34:48.080;2:36.239;1:12.970;0:42.195;230.1;Stephen TOMKINS;0:01:45.814;BC;;Venture Engineering;;
6;1;8;2:25.628;0;;40.059;3;1:09.048;0;36.521;2;173.1;22:13.708;12:37:13.708;0:40.059;1:09.048;0:36.521;246.8;Stephen TOMKINS;;BC;;Venture Engineering;;
