NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
51;2;1;3:53.812;0;;2:07.106;0;1:09.871;0;36.835;0;106.0;3:53.812;18:03:53.812;2:07.106;1:09.871;0:36.835;222.0;Alessandro PIER GUIDI;0:01:30.175;LMGTE Pro;;AF Corse;Ferrari;
51;2;2;2:15.883;0;;39.246;0;1:01.497;0;35.140;0;185.6;6:09.695;18:06:09.695;0:39.246;1:01.497;0:35.140;262.4;Alessandro PIER GUIDI;;LMGTE Pro;;AF Corse;Ferrari;
51;2;3;2:15.160;2;;39.140;1;1:01.045;2;34.975;2;186.6;8:24.855;18:08:24.855;0:39.140;1:01.045;0:34.975;264.3;Alessandro PIER GUIDI;;LMGTE Pro;;AF Corse;Ferrari;
51;2;4;2:39.226;0;B;42.630;0;1:09.632;0;46.964;0;158.4;11:04.081;18:11:04.081;0:42.630;1:09.632;0:46.964;225.3;Alessandro PIER GUIDI;;LMGTE Pro;;AF Corse;Ferrari;
51;1;5;3:47.895;0;;2:03.793;0;1:07.994;0;36.108;0;110.6;14:51.976;18:14:51.976;2:03.793;1:07.994;0:36.108;239.7;James CALADO;0:01:27.182;LMGTE Pro;;AF Corse;Ferrari;
51;1;6;2:17.883;0;;39.149;0;1:02.202;0;36.532;0;182.9;17:09.859;18:17:09.859;0:39.149;1:02.202;0:36.532;264.9;James CALADO;;LMGTE Pro;;AF Corse;Ferrari;
51;1;7;2:15.607;0;;39.098;2;1:01.514;1;34.995;1;185.9;19:25.466;18:19:25.466;0:39.098;1:01.514;0:34.995;265.6;James CALADO;;LMGTE Pro;;AF Corse;Ferrari;
51;1;8;2:31.492;0;B;39.307;0;1:07.107;0;45.078;0;166.4;21:56.958;18:21:56.958;0:39.307;1:07.107;0:45.078;264.3;James CALADO;;LMGTE Pro;;AF Corse;Ferrari;
54;3;1;2:47.920;0;;1:03.532;0;1:05.112;0;39.276;0;147.5;2:47.920;18:02:47.920;1:03.532;1:05.112;0:39.276;248.5;Giancarlo FISICHELLA;0:00:27.530;LMGTE Am;;AF Corse;Ferrari;
54;3;2;2:17.079;0;;40.119;0;1:01.968;2;34.992;2;183.9;5:04.999;18:05:04.999;0:40.119;1:01.968;0:34.992;261.1;Giancarlo FISICHELLA;;LMGTE Am;;AF Corse;Ferrari;
54;3;3;2:16.790;2;;39.368;2;1:02.244;0;35.178;0;184.3;7:21.789;18:07:21.789;0:39.368;1:02.244;0:35.178;262.4;Giancarlo FISICHELLA;;LMGTE Am;;AF Corse;Ferrari;
