NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;2;1;2:16.566;0;;42.198;0;58.387;0;35.981;0;181.4;2:16.566;18:32:16.566;0:42.198;0:58.387;0:35.981;275.7;Gustavo MENEZES;0:00:10.665;LMP1;;Rebellion Racing;Rebellion;
1;2;2;1:59.624;0;;34.715;0;53.910;3;30.999;0;210.8;4:16.190;18:34:16.190;0:34.715;0:53.910;0:30.999;303.5;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;2;3;1:59.342;3;;34.423;2;53.938;0;30.981;2;211.3;6:15.532;18:36:15.532;0:34.423;0:53.938;0:30.981;305.2;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;2;4;2:07.803;0;B;34.646;0;55.076;0;38.081;0;197.3;8:23.335;18:38:23.335;0:34.646;0:55.076;0:38.081;305.2;Gustavo MENEZES;;LMP1;;Rebellion Racing;Rebellion;
1;3;5;3:30.479;0;;1:59.344;0;58.783;0;32.352;0;119.8;11:53.814;18:41:53.814;1:59.344;0:58.783;0:32.352;296.1;Norman NATO;0:01:33.468;LMP1;;Rebellion Racing;Rebellion;
1;3;6;2:08.120;0;;34.764;0;54.536;0;38.820;0;196.8;14:01.934;18:44:01.934;0:34.764;0:54.536;0:38.820;303.5;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;7;1:59.813;0;;34.491;1;54.287;1;31.035;1;210.4;16:01.747;18:46:01.747;0:34.491;0:54.287;0:31.035;304.4;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
1;3;8;2:14.891;0;B;35.527;0;59.445;0;39.919;0;186.9;18:16.638;18:48:16.638;0:35.527;0:59.445;0:39.919;299.3;Norman NATO;;LMP1;;Rebellion Racing;Rebellion;
22;3;1;3:30.012;0;;1:50.960;0;1:05.022;0;34.030;0;118.0;3:30.012;18:33:30.012;1:50.960;1:05.022;0:34.030;238.7;Paul DI RESTA;0:01:16.384;LMP2;;United Autosports;Oreca;
22;3;2;2:01.888;2;;35.399;2;54.694;2;31.795;1;206.9;5:31.900;18:35:31.900;0:35.399;0:54.694;0:31.795;296.9;Paul DI RESTA;;LMP2;;United Autosports;Oreca;
22;3;3;2:16.331;0;B;36.957;0;59.919;0;39.455;0;184.9;7:48.231;18:37:48.231;0:36.957;0:59.919;0:39.455;263.0;Paul DI RESTA;;LMP2;;United Autosports;Oreca;
22;1;4;3:33.509;0;;1:59.573;0;1:01.554;0;32.382;0;118.1;11:21.740;18:41:21.740;1:59.573;1:01.554;0:32.382;276.4;Philip HANSON;0:01:33.516;LMP2;;United Autosports;Oreca;
22;1;5;2:08.176;0;;35.460;1;59.531;0;33.185;0;196.7;13:29.916;18:43:29.916;0:35.460;0:59.531;0:33.185;296.1;Philip HANSON;;LMP2;;United Autosports;Oreca;
22;1;6;2:02.409;0;;35.513;0;55.203;1;31.693;2;206.0;15:32.325;18:45:32.325;0:35.513;0:55.203;0:31.693;296.1;Philip HANSON;;LMP2;;United Autosports;Oreca;
22;1;7;2:58.708;0;B;47.724;0;1:19.330;0;51.654;0;141.1;18:31.033;18:48:31.033;0:47.724;1:19.330;0:51.654;206.8;Philip HANSON;;LMP2;;United Autosports;Oreca;
29;2;1;3:50.932;0;;2:17.360;0;59.951;0;33.621;0;107.3;3:50.932;18:33:50.932;2:17.360;0:59.951;0:33.621;273.6;Giedo VAN DER GARDE;0:01:45.118;LMP2;;Racing Team Nederland;Oreca;
29;2;2;2:04.966;0;;35.512;0;55.985;0;33.469;0;201.8;5:55.898;18:35:55.898;0:35.512;0:55.985;0:33.469;297.7;Giedo VAN DER GARDE;;LMP2;;Racing Team Nederland;Oreca;
29;2;3;2:02.744;2;;35.493;1;55.304;2;31.947;2;205.4;7:58.642;18:37:58.642;0:35.493;0:55.304;0:31.947;297.7;Giedo VAN DER GARDE;;LMP2;;Racing Team Nederland;Oreca;
29;2;4;2:19.785;0;B;38.065;0;1:00.767;0;40.953;0;180.4;10:18.427;18:40:18.427;0:38.065;1:00.767;0:40.953;252.0;Giedo VAN DER GARDE;;LMP2;;Racing Team Nederland;Oreca;
29;3;5;3:17.415;0;;1:39.556;0;1:04.670;0;33.189;1;127.7;13:35.842;18:43:35.842;1:39.556;1:04.670;0:33.189;254.4;Job VAN UITERT;0:01:09.672;LMP2;;Racing Team Nederland;Oreca;
