NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
007;1;1;6:27.196;0;;1:56.396;0;1:29.784;0;3:01.016;0;125.3;6:27.196;12:06:27.196;1:56.396;1:29.784;3:01.016;236.7;Harry TINCKNELL;0:01:11.509;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;116.396;89.784;181.016;
007;1;2;3:37.146;0;;35.918;0;1:22.651;0;1:38.577;0;225.9;10:04.342;12:10:04.342;0:35.918;1:22.651;1:38.577;328.8;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;35.918;82.651;98.577;
007;1;3;3:32.062;0;;33.059;2;1:20.441;0;1:38.562;0;231.3;13:36.404;12:13:36.404;0:33.059;1:20.441;1:38.562;333.9;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;33.059;80.441;98.562;
007;1;4;3:31.546;2;;33.592;0;1:20.248;2;1:37.706;2;231.9;17:07.950;12:17:07.950;0:33.592;1:20.248;1:37.706;336.0;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;FF;33.592;80.248;97.706;
009;1;1;6:25.977;0;;1:52.475;0;1:29.078;0;3:04.424;0;125.7;6:25.977;12:06:25.977;1:52.475;1:29.078;3:04.424;261.3;Alex RIBERAS;0:01:10.457;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;112.475;89.078;184.424;
009;1;2;3:35.864;0;;36.308;0;1:22.737;0;1:36.819;0;227.2;10:01.841;12:10:01.841;0:36.308;1:22.737;1:36.819;303.0;Alex RIBERAS;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;36.308;82.737;96.819;
009;1;3;3:31.829;0;;33.391;0;1:20.291;0;1:38.147;0;231.6;13:33.670;12:13:33.670;0:33.391;1:20.291;1:38.147;331.8;Alex RIBERAS;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;33.391;80.291;98.147;
009;1;4;3:29.343;2;;33.370;2;1:19.932;2;1:36.041;2;234.3;17:03.013;12:17:03.013;0:33.370;1:19.932;1:36.041;331.8;Alex RIBERAS;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;FF;33.370;79.932;96.041;
10;2;1;7:12.440;0;B;2:07.535;0;1:41.486;1;3:23.419;0;112.2;7:12.440;12:07:12.440;2:07.535;1:41.486;3:23.419;223.5;Valentin HASSE CLOT;0:01:20.553;LMGT3;;Racing Spirit of Leman;Aston Martin;GF;127.535;101.486;203.419;
10;1;2;5:35.057;0;B;1:58.435;0;1:35.614;1;2:01.008;0;146.4;12:47.497;12:12:47.497;1:58.435;1:35.614;2:01.008;277.4;Derek DEBOER;0:01:29.833;LMGT3;;Racing Spirit of Leman;Aston Martin;GF;118.435;95.614;121.008;
10;3;3;4:58.079;0;;1:36.518;0;1:32.013;2;1:49.548;2;164.6;17:45.576;12:17:45.576;1:36.518;1:32.013;1:49.548;291.6;Eduardo BARRICHELLO;0:01:07.285;LMGT3;;Racing Spirit of Leman;Aston Martin;FF;96.518;92.013;109.548;
101;1;1;5:37.724;0;B;1:19.885;0;1:33.399;1;2:44.440;0;143.7;5:37.724;12:05:37.724;1:19.885;1:33.399;2:44.440;247.0;Ricky TAYLOR;0:00:36.086;HYPERCAR;H;Cadillac WTR;Cadillac;FCY;79.885;93.399;164.440;
101;3;2;5:12.955;0;B;1:58.705;0;1:26.634;2;1:47.616;0;156.7;10:50.679;12:10:50.679;1:58.705;1:26.634;1:47.616;290.8;Filipe ALBUQUERQUE;0:01:28.073;HYPERCAR;H;Cadillac WTR;Cadillac;GF;118.705;86.634;107.616;
101;2;3;5:19.425;0;B;2:02.178;0;1:28.542;1;1:48.705;0;153.6;16:10.104;12:16:10.104;2:02.178;1:28.542;1:48.705;261.9;Jordan TAYLOR;0:01:29.095;HYPERCAR;H;Cadillac WTR;Cadillac;FF;122.178;88.542;108.705;
11;3;1;7:19.148;0;;2:37.423;0;1:55.604;0;2:46.121;0;110.5;7:19.148;12:07:19.148;2:37.423;1:55.604;2:46.121;275.3;Bent VISCAAL;0:01:57.563;LMP2;P/A;Proton Competition;Oreca;GF;157.423;115.604;166.121;
11;3;2;3:42.304;0;;35.453;0;1:26.079;0;1:40.772;0;220.7;11:01.452;12:11:01.452;0:35.453;1:26.079;1:40.772;300.5;Bent VISCAAL;;LMP2;P/A;Proton Competition;Oreca;GF;35.453;86.079;100.772;
11;3;3;3:39.802;2;;35.727;0;1:24.383;2;1:39.692;2;223.2;14:41.254;12:14:41.254;0:35.727;1:24.383;1:39.692;315.4;Bent VISCAAL;;LMP2;P/A;Proton Competition;Oreca;GF;35.727;84.383;99.692;
11;3;4;3:46.885;0;B;34.403;2;1:24.680;0;1:47.802;0;216.2;18:28.139;12:18:28.139;0:34.403;1:24.680;1:47.802;316.3;Bent VISCAAL;;LMP2;P/A;Proton Competition;Oreca;FF;34.403;84.680;107.802;
12;1;1;5:18.479;0;;1:13.542;0;1:34.493;0;2:30.444;0;152.4;5:18.479;12:05:18.479;1:13.542;1:34.493;2:30.444;228.2;Will STEVENS;0:00:30.038;HYPERCAR;H;Cadillac Hertz Team JOTA;Cadillac;FCY;73.542;94.493;150.444;
12;1;2;4:18.301;0;;1:03.455;0;1:24.392;0;1:50.454;0;189.9;9:36.780;12:09:36.780;1:03.455;1:24.392;1:50.454;265.1;Will STEVENS;;HYPERCAR;H;Cadillac Hertz Team JOTA;Cadillac;GF;63.455;84.392;110.454;
12;1;3;3:35.117;0;;36.470;0;1:20.298;2;1:38.349;0;228.0;13:11.897;12:13:11.897;0:36.470;1:20.298;1:38.349;332.9;Will STEVENS;;HYPERCAR;H;Cadillac Hertz Team JOTA;Cadillac;GF;36.470;80.298;98.349;
12;1;4;3:30.721;2;;33.325;2;1:21.873;0;1:35.523;2;232.8;16:42.618;12:16:42.618;0:33.325;1:21.873;1:35.523;275.3;Will STEVENS;;HYPERCAR;H;Cadillac Hertz Team JOTA;Cadillac;FF;33.325;81.873;95.523;
15;3;1;4:01.574;0;B;43.256;0;1:24.989;0;1:53.329;0;200.9;4:01.574;12:04:01.574;0:43.256;1:24.989;1:53.329;314.5;Kevin MAGNUSSEN;0:00:04.505;HYPERCAR;H;BMW M Team WRT;BMW;FCY;43.256;84.989;113.329;
15;3;2;5:42.462;0;B;2:29.435;0;1:23.479;0;1:49.548;0;143.2;9:44.036;12:09:44.036;2:29.435;1:23.479;1:49.548;332.9;Kevin MAGNUSSEN;0:01:53.257;HYPERCAR;H;BMW M Team WRT;BMW;GF;149.435;83.479;109.548;
15;3;3;4:28.209;0;B;1:17.916;0;1:22.712;0;1:47.581;0;182.9;14:12.245;12:14:12.245;1:17.916;1:22.712;1:47.581;331.8;Kevin MAGNUSSEN;0:00:50.185;HYPERCAR;H;BMW M Team WRT;BMW;GF;77.916;82.712;107.581;
15;3;4;4:28.699;0;B;1:18.427;0;1:22.407;2;1:47.865;0;182.6;18:40.944;12:18:40.944;1:18.427;1:22.407;1:47.865;330.8;Kevin MAGNUSSEN;0:00:50.690;HYPERCAR;H;BMW M Team WRT;BMW;FF;78.427;82.407;107.865;
150;3;1;6:01.451;0;;1:21.110;0;1:39.094;0;3:01.247;0;134.3;6:01.451;12:06:01.451;1:21.110;1:39.094;3:01.247;193.9;Riccardo AGOSTINI;0:00:37.820;LMGT3;;Richard Mille AF Corse;Ferrari;GF;81.110;99.094;181.247;
150;3;2;4:02.021;2;;40.446;0;1:32.082;0;1:49.493;2;202.7;10:03.472;12:10:03.472;0:40.446;1:32.082;1:49.493;286.9;Riccardo AGOSTINI;;LMGT3;;Richard Mille AF Corse;Ferrari;GF;40.446;92.082;109.493;
150;3;3;4:04.662;0;B;37.398;2;1:31.460;2;1:55.804;0;200.5;14:08.134;12:14:08.134;0:37.398;1:31.460;1:55.804;290.8;Riccardo AGOSTINI;;LMGT3;;Richard Mille AF Corse;Ferrari;GF;37.398;91.460;115.804;
16;3;1;5:36.320;0;;1:22.877;0;1:31.301;0;2:42.142;0;144.3;5:36.320;12:05:36.320;1:22.877;1:31.301;2:42.142;274.6;Patrick PILET;0:00:41.094;LMP2;P/A;RLR M Sport;Oreca;FCY;82.877;91.301;162.142;
16;3;2;4:05.126;0;;56.625;0;1:26.868;0;1:41.633;0;200.1;9:41.446;12:09:41.446;0:56.625;1:26.868;1:41.633;309.1;Patrick PILET;;LMP2;P/A;RLR M Sport;Oreca;GF;56.625;86.868;101.633;
16;3;3;3:39.706;2;;34.488;0;1:24.568;0;1:40.650;2;223.3;13:21.152;12:13:21.152;0:34.488;1:24.568;1:40.650;309.1;Patrick PILET;;LMP2;P/A;RLR M Sport;Oreca;GF;34.488;84.568;100.650;
