NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
007;1;1;4:41.878;0;B;1:26.836;0;1:27.016;0;1:48.026;0;172.2;4:41.878;14:49:41.878;1:26.836;1:27.016;1:48.026;236.7;Harry TINCKNELL;0:00:46.171;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;86.836;87.016;108.026;
007;1;2;10:03.043;0;;7:04.235;0;1:21.706;0;1:37.102;0;81.3;14:44.921;14:59:44.921;7:04.235;1:21.706;1:37.102;329.8;Harry TINCKNELL;0:06:36.734;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;424.235;81.706;97.102;
007;1;3;3:29.269;2;;33.079;1;1:20.045;1;1:36.145;1;234.4;18:14.190;15:03:14.190;0:33.079;1:20.045;1:36.145;331.8;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;33.079;80.045;96.145;
007;1;4;3:30.486;0;;33.381;0;1:20.262;0;1:36.843;0;233.0;21:44.676;15:06:44.676;0:33.381;1:20.262;1:36.843;332.9;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;33.381;80.262;96.843;
007;1;5;3:39.698;0;B;33.588;0;1:20.464;0;1:45.646;0;223.3;25:24.374;15:10:24.374;0:33.588;1:20.464;1:45.646;333.9;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;33.588;80.464;105.646;
007;1;6;9:46.106;0;;6:46.484;0;1:22.173;0;1:37.449;0;83.7;35:10.480;15:20:10.480;6:46.484;1:22.173;1:37.449;311.8;Harry TINCKNELL;0:06:21.379;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;406.484;82.173;97.449;
007;1;7;3:40.197;0;B;33.610;0;1:20.777;0;1:45.810;0;222.8;38:50.677;15:23:50.677;0:33.610;1:20.777;1:45.810;332.9;Harry TINCKNELL;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;33.610;80.777;105.810;
007;2;8;8:55.427;0;;5:56.721;0;1:20.902;0;1:37.804;0;91.6;47:46.104;15:32:46.104;5:56.721;1:20.902;1:37.804;334.9;Tom GAMBLE;0:05:30.782;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;356.721;80.902;97.804;
007;2;9;3:31.157;0;;33.688;0;1:20.309;0;1:37.160;0;232.3;51:17.261;15:36:17.261;0:33.688;1:20.309;1:37.160;337.0;Tom GAMBLE;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;33.688;80.309;97.160;
007;2;10;3:33.327;0;;34.401;0;1:19.905;2;1:39.021;0;229.9;54:50.588;15:39:50.588;0:34.401;1:19.905;1:39.021;334.9;Tom GAMBLE;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;34.401;79.905;99.021;
007;2;11;3:32.724;0;;33.668;0;1:20.134;0;1:38.922;0;230.6;58:23.312;15:43:23.312;0:33.668;1:20.134;1:38.922;338.1;Tom GAMBLE;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;33.668;80.134;98.922;
007;2;12;3:38.631;0;B;33.535;0;1:20.131;0;1:44.965;0;224.4;1:02:01.943;15:47:01.943;0:33.535;1:20.131;1:44.965;336.0;Tom GAMBLE;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;33.535;80.131;104.965;
007;3;13;6:48.013;0;;2:36.334;0;1:20.870;0;2:50.809;0;120.2;1:08:49.956;15:53:49.956;2:36.334;1:20.870;2:50.809;333.9;Ross GUNN;0:02:12.853;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;156.334;80.870;170.809;
007;3;14;3:31.109;0;;33.826;0;1:20.683;0;1:36.600;0;232.4;1:12:21.065;15:57:21.065;0:33.826;1:20.683;1:36.600;332.9;Ross GUNN;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;33.826;80.683;96.600;
007;3;15;3:29.879;0;;33.434;0;1:20.166;0;1:36.279;0;233.7;1:15:50.944;16:00:50.944;0:33.434;1:20.166;1:36.279;333.9;Ross GUNN;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;33.434;80.166;96.279;
007;3;16;3:38.797;0;B;33.361;0;1:20.477;0;1:44.959;0;224.2;1:19:29.741;16:04:29.741;0:33.361;1:20.477;1:44.959;332.9;Ross GUNN;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;33.361;80.477;104.959;
007;3;17;5:09.045;0;;2:04.402;0;1:23.898;0;1:40.745;0;158.7;1:24:38.786;16:09:38.786;2:04.402;1:23.898;1:40.745;313.6;Ross GUNN;0:01:33.908;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;124.402;83.898;100.745;
007;3;18;3:28.986;0;;33.476;0;1:20.080;1;1:35.430;2;234.7;1:28:07.772;16:13:07.772;0:33.476;1:20.080;1:35.430;332.9;Ross GUNN;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;33.476;80.080;95.430;
007;3;19;3:30.759;0;;33.935;0;1:20.683;0;1:36.141;0;232.7;1:31:38.531;16:16:38.531;0:33.935;1:20.683;1:36.141;317.2;Ross GUNN;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;33.935;80.683;96.141;
007;3;20;5:13.446;0;B;33.073;0;1:20.771;0;3:19.602;0;156.5;1:36:51.977;16:21:51.977;0:33.073;1:20.771;3:19.602;327.8;Ross GUNN;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;RF;33.073;80.771;199.602;
007;3;21;16:28.208;0;;13:28.403;0;1:22.304;0;1:37.501;0;49.6;1:53:20.185;16:38:20.185;13:28.403;1:22.304;1:37.501;307.3;Ross GUNN;0:13:03.248;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;808.403;82.304;97.501;
007;3;22;3:29.925;0;;33.345;0;1:20.080;0;1:36.500;0;233.7;1:56:50.110;16:41:50.110;0:33.345;1:20.080;1:36.500;328.8;Ross GUNN;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;33.345;80.080;96.500;
007;3;23;3:29.628;0;;33.043;2;1:20.166;0;1:36.419;0;234.0;2:00:19.738;16:45:19.738;0:33.043;1:20.166;1:36.419;327.8;Ross GUNN;;HYPERCAR;;Aston Martin Thor Team;Aston Martin;GF;33.043;80.166;96.419;
