NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
16;2;1;4:18.150;0;;56.367;0;1:31.864;0;1:49.919;0;188.0;4:18.150;20:46:18.150;0:56.367;1:31.864;1:49.919;247.6;Ryan CULLEN;0:00:17.959;LMP2;P/A;RLR M Sport;Oreca;GF;56.367;91.864;109.919;
16;2;2;3:40.153;0;;35.083;0;1:24.750;0;1:40.320;0;222.8;7:58.303;20:49:58.303;0:35.083;1:24.750;1:40.320;311.8;Ryan CULLEN;;LMP2;P/A;RLR M Sport;Oreca;GF;35.083;84.750;100.320;
16;2;3;3:39.214;0;;34.605;0;1:24.355;2;1:40.254;0;223.8;11:37.517;20:53:37.517;0:34.605;1:24.355;1:40.254;312.7;Ryan CULLEN;;LMP2;P/A;RLR M Sport;Oreca;GF;34.605;84.355;100.254;
16;2;4;3:38.922;2;;34.474;2;1:24.477;0;1:39.971;2;224.1;15:16.439;20:57:16.439;0:34.474;1:24.477;1:39.971;311.8;Ryan CULLEN;;LMP2;P/A;RLR M Sport;Oreca;FF;34.474;84.477;99.971;
183;2;1;4:10.773;0;;42.460;0;1:36.832;0;1:51.481;0;193.5;4:10.773;20:46:10.773;0:42.460;1:36.832;1:51.481;220.3;Matthieu VAXIVIERE;0:00:06.273;LMP2;P/A;AF Corse;Oreca;GF;42.460;96.832;111.481;
183;2;2;3:37.835;0;;34.541;0;1:23.969;0;1:39.325;0;225.2;7:48.608;20:49:48.608;0:34.541;1:23.969;1:39.325;314.5;Matthieu VAXIVIERE;;LMP2;P/A;AF Corse;Oreca;GF;34.541;83.969;99.325;
183;2;3;3:37.167;0;;34.142;0;1:24.053;0;1:38.972;2;225.9;11:25.775;20:53:25.775;0:34.142;1:24.053;1:38.972;313.6;Matthieu VAXIVIERE;;LMP2;P/A;AF Corse;Oreca;GF;34.142;84.053;98.972;
183;2;4;3:36.993;2;;34.035;2;1:23.872;2;1:39.086;0;226.1;15:02.768;20:57:02.768;0:34.035;1:23.872;1:39.086;313.6;Matthieu VAXIVIERE;;LMP2;P/A;AF Corse;Oreca;FF;34.035;83.872;99.086;
199;3;1;4:08.883;0;;47.516;0;1:33.135;0;1:48.232;0;195.0;4:08.883;20:46:08.883;0:47.516;1:33.135;1:48.232;251.0;Louis DELETRAZ;0:00:10.030;LMP2;P/A;AO by TF;Oreca;GF;47.516;93.135;108.232;
199;3;2;3:36.442;0;;34.238;0;1:23.547;0;1:38.657;0;226.6;7:45.325;20:49:45.325;0:34.238;1:23.547;1:38.657;313.6;Louis DELETRAZ;;LMP2;P/A;AO by TF;Oreca;GF;34.238;83.547;98.657;
199;3;3;3:35.505;0;;33.724;2;1:23.607;0;1:38.174;2;227.6;11:20.830;20:53:20.830;0:33.724;1:23.607;1:38.174;312.7;Louis DELETRAZ;;LMP2;P/A;AO by TF;Oreca;GF;33.724;83.607;98.174;
199;3;4;3:36.751;0;;33.850;0;1:23.369;0;1:39.532;0;226.3;14:57.581;20:56:57.581;0:33.850;1:23.369;1:39.532;312.7;Louis DELETRAZ;;LMP2;P/A;AO by TF;Oreca;GF;33.850;83.369;99.532;
199;3;5;3:35.421;2;;33.799;0;1:23.366;2;1:38.256;0;227.7;18:33.002;21:00:33.002;0:33.799;1:23.366;1:38.256;310.9;Louis DELETRAZ;;LMP2;P/A;AO by TF;Oreca;FF;33.799;83.366;98.256;
21;3;1;4:38.100;0;;45.788;0;1:58.540;0;1:53.772;0;174.5;4:38.100;20:46:38.100;0:45.788;1:58.540;1:53.772;213.4;Alessio ROVERA;0:00:07.042;LMGT3;;Vista AF Corse;Ferrari;GF;45.788;118.540;113.772;
21;3;2;3:53.294;0;;36.565;0;1:29.952;0;1:46.777;2;210.3;8:31.394;20:50:31.394;0:36.565;1:29.952;1:46.777;290.8;Alessio ROVERA;;LMGT3;;Vista AF Corse;Ferrari;GF;36.565;89.952;106.777;
21;3;3;3:53.085;2;;36.523;2;1:29.626;2;1:46.936;0;210.5;12:24.479;20:54:24.479;0:36.523;1:29.626;1:46.936;292.4;Alessio ROVERA;;LMGT3;;Vista AF Corse;Ferrari;GF;36.523;89.626;106.936;
21;3;4;4:24.998;0;B;42.387;0;1:37.846;0;2:04.765;0;185.1;16:49.477;20:58:49.477;0:42.387;1:37.846;2:04.765;273.2;Alessio ROVERA;;LMGT3;;Vista AF Corse;Ferrari;FF;42.387;97.846;124.765;
22;2;1;4:12.923;0;;54.124;0;1:30.960;0;1:47.839;0;191.9;4:12.923;20:46:12.923;0:54.124;1:30.960;1:47.839;251.0;Pietro FITTIPALDI;0:00:15.353;LMP2;;United Autosports;Oreca;GF;54.124;90.960;107.839;
22;2;2;3:39.032;0;;34.743;0;1:24.566;0;1:39.723;0;224.0;7:51.955;20:49:51.955;0:34.743;1:24.566;1:39.723;314.5;Pietro FITTIPALDI;;LMP2;;United Autosports;Oreca;GF;34.743;84.566;99.723;
22;2;3;3:36.072;0;;33.938;0;1:23.697;0;1:38.437;0;227.0;11:28.027;20:53:28.027;0:33.938;1:23.697;1:38.437;314.5;Pietro FITTIPALDI;;LMP2;;United Autosports;Oreca;GF;33.938;83.697;98.437;
22;2;4;3:35.615;2;;33.885;2;1:23.388;2;1:38.342;2;227.5;15:03.642;20:57:03.642;0:33.885;1:23.388;1:38.342;315.4;Pietro FITTIPALDI;;LMP2;;United Autosports;Oreca;FF;33.885;83.388;98.342;
23;3;1;4:06.256;0;;53.349;0;1:30.132;0;1:42.775;0;197.1;4:06.256;20:46:06.256;0:53.349;1:30.132;1:42.775;261.9;Benjamin HANLEY;0:00:16.242;LMP2;P/A;United Autosports;Oreca;GF;53.349;90.132;102.775;
23;3;2;3:36.911;0;;34.450;0;1:23.971;0;1:38.490;0;226.1;7:43.167;20:49:43.167;0:34.450;1:23.971;1:38.490;312.7;Benjamin HANLEY;;LMP2;P/A;United Autosports;Oreca;GF;34.450;83.971;98.490;
23;3;3;3:35.459;2;;33.643;3;1:23.566;0;1:38.250;2;227.7;11:18.626;20:53:18.626;0:33.643;1:23.566;1:38.250;313.6;Benjamin HANLEY;;LMP2;P/A;United Autosports;Oreca;GF;33.643;83.566;98.250;
23;3;4;3:35.549;0;;33.737;0;1:23.389;2;1:38.423;0;227.6;14:54.175;20:56:54.175;0:33.737;1:23.389;1:38.423;313.6;Benjamin HANLEY;;LMP2;P/A;United Autosports;Oreca;GF;33.737;83.389;98.423;
27;2;1;4:50.952;0;;1:04.107;0;1:41.283;0;2:05.562;0;166.8;4:50.952;20:46:50.952;1:04.107;1:41.283;2:05.562;263.9;Mattia DRUDI;0:00:24.234;LMGT3;;Heart of Racing Team;Aston Martin;GF;64.107;101.283;125.562;
27;2;2;3:53.318;0;;36.499;0;1:30.038;0;1:46.781;0;210.2;8:44.270;20:50:44.270;0:36.499;1:30.038;1:46.781;287.7;Mattia DRUDI;;LMGT3;;Heart of Racing Team;Aston Martin;GF;36.499;90.038;106.781;
27;2;3;3:52.789;2;;36.376;2;1:29.893;2;1:46.520;2;210.7;12:37.059;20:54:37.059;0:36.376;1:29.893;1:46.520;290.0;Mattia DRUDI;;LMGT3;;Heart of Racing Team;Aston Martin;GF;36.376;89.893;106.520;
27;2;4;4:47.589;0;B;36.727;0;1:36.006;0;2:34.856;0;170.6;17:24.648;20:59:24.648;0:36.727;1:36.006;2:34.856;283.2;Mattia DRUDI;;LMGT3;;Heart of Racing Team;Aston Martin;FF;36.727;96.006;154.856;
29;2;1;4:16.890;0;;58.727;0;1:28.151;0;1:50.012;0;188.9;4:16.890;20:46:16.890;0:58.727;1:28.151;1:50.012;306.5;Mathias BECHE;0:00:21.688;LMP2;P/A;TDS Racing;Oreca;GF;58.727;88.151;110.012;
29;2;2;3:40.240;0;;34.001;0;1:23.216;0;1:43.023;0;222.7;7:57.130;20:49:57.130;0:34.001;1:23.216;1:43.023;315.4;Mathias BECHE;;LMP2;P/A;TDS Racing;Oreca;GF;34.001;83.216;103.023;
29;2;3;3:35.481;0;;33.782;0;1:23.370;0;1:38.329;0;227.6;11:32.611;20:53:32.611;0:33.782;1:23.370;1:38.329;315.4;Mathias BECHE;;LMP2;P/A;TDS Racing;Oreca;GF;33.782;83.370;98.329;
29;2;4;3:35.062;3;;33.760;2;1:23.126;3;1:38.176;2;228.1;15:07.673;20:57:07.673;0:33.760;1:23.126;1:38.176;316.3;Mathias BECHE;;LMP2;P/A;TDS Racing;Oreca;FF;33.760;83.126;98.176;
37;2;1;4:25.598;0;;1:00.215;0;1:31.347;0;1:54.036;0;182.7;4:25.598;20:46:25.598;1:00.215;1:31.347;1:54.036;291.6;Tom BLOMQVIST;0:00:20.860;LMP2;;CLX - Pure Rxcing;Oreca;GF;60.215;91.347;114.036;
37;2;2;3:44.036;0;;34.398;0;1:24.813;0;1:44.825;0;219.0;8:09.634;20:50:09.634;0:34.398;1:24.813;1:44.825;312.7;Tom BLOMQVIST;;LMP2;;CLX - Pure Rxcing;Oreca;GF;34.398;84.813;104.825;
37;2;3;3:36.184;2;;33.725;2;1:24.004;2;1:38.455;2;226.9;11:45.818;20:53:45.818;0:33.725;1:24.004;1:38.455;313.6;Tom BLOMQVIST;;LMP2;;CLX - Pure Rxcing;Oreca;GF;33.725;84.004;98.455;
