NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
10;1;1;8:02.340;0;;3:58.836;0;1:46.954;0;2:16.550;0;100.6;8:02.340;09:08:02.340;3:58.836;1:46.954;2:16.550;200.0;Alexandr ARTEMYEV;0:03:11.624;992;;Schumacher IMSA;;GF;238.836;106.954;136.550;
10;1;2;4:43.111;0;;48.105;0;1:47.022;0;2:07.984;2;173.3;12:45.451;09:12:45.451;0:48.105;1:47.022;2:07.984;188.8;Alexandr ARTEMYEV;;992;;Schumacher IMSA;;GF;48.105;107.022;127.984;
10;1;3;4:36.328;2;;46.073;0;1:41.541;2;2:08.714;0;177.5;17:21.779;09:17:21.779;0:46.073;1:41.541;2:08.714;281.0;Alexandr ARTEMYEV;;992;;Schumacher IMSA;;GF;46.073;101.541;128.714;
10;1;4;4:36.650;0;;45.051;2;1:42.704;0;2:08.895;0;177.3;21:58.429;09:21:58.429;0:45.051;1:42.704;2:08.895;278.8;Alexandr ARTEMYEV;;992;;Schumacher IMSA;;FF;45.051;102.704;128.895;
100;1;1;5:22.047;0;;1:13.022;0;1:52.877;0;2:16.148;0;150.7;5:22.047;09:05:22.047;1:13.022;1:52.877;2:16.148;224.4;Clément LOEUL;0:00:25.037;992;;Ancel Motorsport;;GF;73.022;112.877;136.148;
100;1;2;4:33.265;0;;45.186;0;1:42.296;0;2:05.783;2;179.5;9:55.312;09:09:55.312;0:45.186;1:42.296;2:05.783;269.1;Clément LOEUL;;992;;Ancel Motorsport;;GF;45.186;102.296;125.783;
100;1;3;4:31.279;2;;44.423;2;1:40.593;0;2:06.263;0;180.8;14:26.591;09:14:26.591;0:44.423;1:40.593;2:06.263;280.3;Clément LOEUL;;992;;Ancel Motorsport;;GF;44.423;100.593;126.263;
100;1;4;4:38.801;0;;47.401;0;1:43.422;0;2:07.978;0;175.9;19:05.392;09:19:05.392;0:47.401;1:43.422;2:07.978;240.4;Clément LOEUL;;992;;Ancel Motorsport;;GF;47.401;103.422;127.978;
100;1;5;4:31.995;0;;45.420;0;1:40.430;2;2:06.145;0;180.3;23:37.387;09:23:37.387;0:45.420;1:40.430;2:06.145;271.1;Clément LOEUL;;992;;Ancel Motorsport;;FF;45.420;100.430;126.145;
11;1;1;6:53.963;0;;2:37.277;0;1:54.965;0;2:21.721;0;117.2;6:53.963;09:06:53.963;2:37.277;1:54.965;2:21.721;201.8;Frédéric LACORE;0:01:40.586;992;;Racing Technology;;GF;157.277;114.965;141.721;
