NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
10;1;1;4:18.803;0;;44.331;0;1:36.801;0;1:57.671;0;187.5;4:18.803;13:46:19.392;0:44.331;1:36.801;1:57.671;292.4;Alexandr ARTEMYEV;;992;;Schumacher IMSA;;GF;44.331;96.801;117.671;
10;1;2;4:12.198;0;;40.736;0;1:35.369;2;1:56.093;2;194.5;8:31.001;13:50:31.590;0:40.736;1:35.369;1:56.093;297.2;Alexandr ARTEMYEV;;992;;Schumacher IMSA;;GF;40.736;95.369;116.093;
100;1;1;4:08.431;0;;39.891;0;1:34.494;0;1:54.046;0;195.4;4:08.431;13:46:09.020;0:39.891;1:34.494;1:54.046;282.5;Clément LOEUL;;992;;Ancel Motorsport;;GF;39.891;94.494;114.046;
100;1;2;4:05.221;0;;38.604;0;1:33.903;0;1:52.714;0;200.0;8:13.652;13:50:14.241;0:38.604;1:33.903;1:52.714;290.8;Clément LOEUL;;992;;Ancel Motorsport;;GF;38.604;93.903;112.714;
100;1;3;6:30.549;0;;38.286;2;1:49.887;0;4:02.376;0;125.6;14:44.201;13:56:44.790;0:38.286;1:49.887;4:02.376;221.2;Clément LOEUL;;992;;Ancel Motorsport;;SF;38.286;109.887;242.376;
100;1;4;8:33.374;0;;1:48.370;0;3:31.440;0;3:13.564;0;95.6;23:17.575;14:05:18.164;1:48.370;3:31.440;3:13.564;110.7;Clément LOEUL;;992;;Ancel Motorsport;;GF;108.370;211.440;193.564;
100;1;5;4:04.708;0;;38.694;0;1:33.434;0;1:52.580;0;200.5;27:22.283;14:09:22.872;0:38.694;1:33.434;1:52.580;293.2;Clément LOEUL;;992;;Ancel Motorsport;;GF;38.694;93.434;112.580;
100;1;6;4:04.070;2;;38.318;0;1:33.378;2;1:52.374;2;201.0;31:26.353;14:13:26.942;0:38.318;1:33.378;1:52.374;294.0;Clément LOEUL;;992;;Ancel Motorsport;;GF;38.318;93.378;112.374;
100;1;7;4:35.105;0;;59.968;0;1:35.113;0;2:00.024;0;178.3;36:01.458;14:18:02.047;0:59.968;1:35.113;2:00.024;290.8;Clément LOEUL;;992;;Ancel Motorsport;;FF;59.968;95.113;120.024;
11;1;1;4:27.229;0;;48.309;0;1:39.554;0;1:59.366;0;181.6;4:27.229;13:46:27.818;0:48.309;1:39.554;1:59.366;245.3;Frédéric LACORE;;992;;Racing Technology;;GF;48.309;99.554;119.366;
11;1;2;4:13.344;2;;40.943;0;1:35.394;2;1:57.007;2;193.6;8:40.573;13:50:41.162;0:40.943;1:35.394;1:57.007;296.4;Frédéric LACORE;;992;;Racing Technology;;GF;40.943;95.394;117.007;
11;1;3;6:32.226;0;;43.759;0;2:31.553;0;3:16.914;0;125.1;15:12.799;13:57:13.388;0:43.759;2:31.553;3:16.914;97.4;Frédéric LACORE;;992;;Racing Technology;;SF;43.759;151.553;196.914;
11;1;4;8:22.639;0;;1:49.666;0;3:27.278;0;3:05.695;0;97.6;23:35.438;14:05:36.027;1:49.666;3:27.278;3:05.695;112.2;Frédéric LACORE;;992;;Racing Technology;;GF;109.666;207.278;185.695;
11;1;5;4:16.654;0;;40.955;0;1:36.835;0;1:58.864;0;191.1;27:52.092;14:09:52.681;0:40.955;1:36.835;1:58.864;267.8;Frédéric LACORE;;992;;Racing Technology;;GF;40.955;96.835;118.864;
11;1;6;4:14.490;0;;40.555;2;1:35.158;0;1:58.777;0;192.8;32:06.582;14:14:07.171;0:40.555;1:35.158;1:58.777;294.0;Frédéric LACORE;;992;;Racing Technology;;GF;40.555;95.158;118.777;
11;1;7;4:56.026;0;;59.782;0;1:48.846;0;2:07.398;0;165.7;37:02.608;14:19:03.197;0:59.782;1:48.846;2:07.398;286.2;Frédéric LACORE;;992;;Racing Technology;;FF;59.782;108.846;127.398;
111;1;1;4:10.100;0;;40.570;0;1:34.536;0;1:54.994;0;194.1;4:10.100;13:46:10.689;0:40.570;1:34.536;1:54.994;292.4;Sylvain NOEL;;992;;Racing Technology;;GF;40.570;94.536;114.994;
111;1;2;4:06.262;0;;38.541;0;1:33.943;0;1:53.778;0;199.2;8:16.362;13:50:16.951;0:38.541;1:33.943;1:53.778;290.8;Sylvain NOEL;;992;;Racing Technology;;GF;38.541;93.943;113.778;
111;1;3;6:28.767;0;;38.289;2;1:49.189;0;4:01.289;0;126.2;14:45.129;13:56:45.718;0:38.289;1:49.189;4:01.289;232.1;Sylvain NOEL;;992;;Racing Technology;;SF;38.289;109.189;241.289;
